iwwanu Iyu(V2)+iwwa_Iyu_PAST+anu_a_3SM   
iwwalYu Iyu(V2)+iwwa_Iyu_PAST+alYu_a_3SF
iwwiwu Iyu(V2)+iwwa_Iyu_PAST+iwu_a_3SN 
iwwaru Iyu(V2)+iwwa_Iyu_PAST+aru_a_3P
iwwaru Iyu(V2)+iwwa_Iyu_PAST+aru_a_3SH
iwwavu Iyu(V2)+iwwa_Iyu_PAST+avu_a_3PN

IyuwwAneV Iyu(V2)+uwwa_u_FUT+AneV_a_3SM
IyuwwAlYeV Iyu(V2)+uwwa_u_FUT+AlYeV_a_3SF
IyuwwaxeV Iyu(V2)+uwwa_u_FUT+axeV_a_3SN
IyuwwAreV Iyu(V2)+uwwa_u_FUT+AreV_a_3P
IyuwwAreV Iyu(V2)+uwwa_u_FUT+AreV_a_3SH
IyuwwaveV Iyu(V2)+uwwa_u_FUT+aveV_a_3PN
Iyuvanu Iyu(V2)+va_#_FUT+anu_a_3SM
IyuvalYu Iyu(V2)+va_#_FUT+alYu_a_3FM
Iyuvuxu Iyu(V2)+va_#_FUT+uxu_a_3SN
Iyuvaru Iyu(V2)+va_#_FUT+aru_a_3P
Iyuvaru Iyu(V2)+va_#_FUT+aru_a_3SH
Iyuvuvu Iyu(V2)+va_#_FUT+vuvu_va_3PN
iwweVnu Iyu(V2)+iwwa_Iyu_PAST+eVnu_a_1S
iwweVvu Iyu(V2)+iwwa_Iyu_PAST+eVvu_a_1P
IyuwweneV Iyu(V2)+uwwa_u_FUT+eneV_a_1S
IyuwweveV Iyu(V2)+uwwa_u_FUT+eveV_a_1P

IyuveVnu Iyu(V2)+va_#_FUT+eVnu_a_1P
IyuveVvu Iyu(V2)+va_#_FUT+eVvu_a_1P

IyoNa Iyu(V2)+yoNa_yu_1P
IyuvanA Iyu(V2)+vanA_#_1P

iwwi Iyu(V2)+iwwa_Iyu_PAST+i_a_2S
iwwiri Iyu(V2)+iwwa_Iyu_PAST+iri_a_2S
iwwiri Iyu(V2)+iwwa_Iyu_PAST+iri_a_2SH
Iyuwwi  Iyu(V2)+uwwa_u_FUT+wwi_wwa_2S
IyuwwIri Iyu(V2)+uwwa_u_FUT+wwIri_wwa_2P
IyuwwIri Iyu(V2)+uwwa_u_FUT+wwIri_wwa_2SH
Iyuviri Iyu(V2)+va_#_FUT+viri_va_2P
Iyuviri Iyu(V2)+va_#_FUT+viri_va_2SH
Iyuva Iyu(V2)+va_#_FUT_#_RP
iwwa Iyu(V2)+iwwa_Iyu_PAST_#_RP
Iyalu Iyu(V2)+alu_u_INFN_#_INCH
IyalikkeV Iyu(V2)+alikkeV_u_INFN_#_INCH
IyokeV Iyu(V2)+okeV_u_INFN_#_INCH
Iyabeku Iyu(V2)+a_u_AVY+beku_#_FUT_#_IMPR
IyakUdaxu Iyu(V2)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
IyabAraxu Iyu(V2)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
Iyanu Iyu(V2)+anu_u_FUTNEG_#_3SM
IyalYu Iyu(V2)+alYu_u_FUTNEG_#_3SF
Iyaxu Iyu(V2)+axu_u_FUTNEG_#_3SN
Iyaru Iyu(V2)+aru_u_FUTNEG_#_3P
Iyaru Iyu(V2)+aru_u_FUTNEG_#_3SH
Iyavu Iyu(V2)+avu_u_FUTNEG_#_3PN
IyalAreV Iyu(V2)+alu_u_FUTNEG+AreV_u_1S
IyalAreVvu Iyu(V2)+alu_u_FUTNEG+AreVvu_u_1P
IyalAreV Iyu(V2)+alu_u_FUTNEG+AreV_u_2S
IyalAriri Iyu(V2)+alu_u_FUTNEG+Ariri_u_2P
IyalAriri Iyu(V2)+alu_u_FUTNEG+Ariri_u_2SH
IyalAranu Iyu(V2)+alu_u_FUTNEG+Aranu_u_3SM
IyalAralYu Iyu(V2)+alu_u_FUTNEG+AralYu_u_3SF
IyalAraxu Iyu(V2)+alu_u_FUTNEG+Araxu_u_3SN
IyalAraru Iyu(V2)+alu_u_FUTNEG+Araru_u_3P
IyalAraru Iyu(V2)+alu_u_FUTNEG+Araru_u_3SH
IyalAravu Iyu(V2)+alu_u_FUTNEG+Aravu_u_3PN
IyalAraxa Iyu(V2)+alu_u_NEG+Araxa_u_3
Iyaxa Iyu(V2)+axa_u_NFV_#_NEG
IyaxeV Iyu(V2)+axeV_u_NFV_#_NEG
iwwarU Iyu(V2)+iwwarU_Iyu_NFV_#_CONS
IyuwwA Iyu(V2)+uwwa_u_NFV+A_a_PRESCONT
iwwu Iyu(V2)+iwwu_Iyu_NFV_#_PERF
Iyali Iyu(V2)+ali_u_FUTOPT_#_3SM
Iyali Iyu(V2)+ali_u_FUTOPT_#_3SF
Iyali Iyu(V2)+ali_u_FUTOPT_#_3P
Iyali Iyu(V2)+ali_u_FUTOPT_#_3SH
Iyali Iyu(V2)+ali_u_FUTOPT_#_3SN
Iyali Iyu(V2)+ali_u_FUTOPT_#_3SM
Iyi Iyu(V2)+i_u_FUTPERM_2P
Iyi Iyu(V2)+i_u_FUTPERM_2SH
Iyaballa Iyu(V2)+a_u_AVY+balla_#_FUTINF_#_CAP
Iyaballanu Iyu(V2)+a_u_AVY+balla_#_FUTCAP+anu_a_3SM
IyaballalYu Iyu(V2)+a_u_AVY+balla_#_FUTCAP+alYu_a_3SF
Iyaballaxu Iyu(V2)+a_u_AVY+balla_#_FUTCAP+axu_a_3SN
Iyaballaru Iyu(V2)+a_u_AVY+balla_#_FUTCAP+aru_a_3P
Iyaballaru Iyu(V2)+a_u_AVY+balla_#_FUTCAP+aru_a_3SH
Iyaballavu Iyu(V2)+a_u_AVY+balla_#_FUTCAP+avu_a_3PN
iwwAnu Iyu(V2)+iwwa_Iyu_FUTDUB+Anu_a_3SM  
iwwAlYu Iyu(V2)+iwwa_Iyu_FUTDUB+AlYu_a_3SF
iwwAru Iyu(V2)+iwwa_Iyu_FUTDUB+Aru_a_3P
iwwAru Iyu(V2)+iwwa_Iyu_FUTDUB+Aru_a_3SH
iwwIwu Iyu(V2)+iwwa_Iyu_FUTDUB+Iwu_a_3SN
iwwAvu Iyu(V2)+iwwa_Iyu_FUTDUB+Avu_a_3PN
iwwenu Iyu(V2)+iwwa_Iyu_FUTDUB+enu_a_1S
iwwevu Iyu(V2)+iwwa_Iyu_FUTDUB+evu_a_1P
iwwIyeV Iyu(V2)+iwwa_Iyu_FUTDUB+IyeV_a_2S
iwwIri Iyu(V2)+iwwa_Iyu_FUTDUB+Iri_a_2P
iwwIri Iyu(V2)+iwwa_Iyu_FUTDUB+Iri_a_2SH
