aXikAriyu aXikAri(N24ANY)+yu_#_NOM
aXikArigalYu aXikAri(N24ANY)+galYu_#_PL
aXikAriyannu aXikAri(N24ANY)+yannu_#_ACC
aXikArigalYannu aXikAri(N24ANY)+galYu_#_PL+lYannu_lYu_ACC 
aXikAriyiMxa aXikAri(N24ANY)+yiMxa_#_INS
aXikArigalYiMxa aXikAri(N24ANY)+galYu_#_PL+lYiMxa_lYu_INS
aXikArigeV aXikAri(N24ANY)+geV_#_DAT
aXikArigalYigeV aXikAri(N24ANY)+galYu_#_PL+lYigeV_lYu_DAT
aXikAriyiMxa aXikAri(N24ANY)+yiMxa_#_ABL
aXikArigalYiMxa aXikAri(N24ANY)+galYu_#_PL+lYiMxa_lYu_ABL
aXikAriya aXikAri(N24ANY)+ya_#_GEN
aXikArigalYa aXikAri(N24ANY)+galYu_#_PL+lYa_lYu_GEN
aXikAriyalli aXikAri(N24ANY)+yalli_#_LOC
aXikArigalYalli aXikAri(N24ANY)+galYu_#_PL+lYalli_lYu_LOC
aXikAriye aXikAri(N24ANY)+ye_#_VOC
aXikArigalYe aXikAri(N24ANY)+galYu_#_PL+lYe_lYu_VOC
aXikArigoskara aXikAri(N24ANY)+goskara_#_BEN
aXikArigalYigoskara aXikAri(N24ANY)+galYu_#_PL+lYigoskara_lYu_BEN
aXikArigoskara aXikAri(N24ANY)+goskara_#_PUR
aXikArigalYigoskara aXikAri(N24ANY)+galYu_#_PL+lYigoskara_lYu_PUR
aXikArigAgi aXikAri(N24ANY)+gAgi_#_BEN
aXikArigalYigAgi aXikAri(N24ANY)+galYu_#_PL+lYigAgi_lYu_BEN
aXikArigAgi aXikAri(N24ANY)+gAgi_#_PUR
aXikArigalYigAgi aXikAri(N24ANY)+galYu_#_PL+lYigAgi_lYu_PUR
aXikArigosuga aXikAri(N24ANY)+gosuga_#_BEN
aXikArigalYigosuga aXikAri(N24ANY)+galYu_#_PL+lYigosuga_lYu_BEN
aXikArigosuga aXikAri(N24ANY)+gosuga_#_PUR
aXikArigalYigosuga aXikAri(N24ANY)+galYu_#_PL+lYigosuga_lYu_PUR
aXikArigiMwa aXikAri(N24ANY)+giMwa_#_COMP
aXikArigalYigiMwa aXikAri(N24ANY)+galYu_#_PL+lYigiMwa_lYu_COMP
aXikAriyaMweV aXikAri(N24ANY)+yaMweV_#_SIM
aXikArigalYaMweV aXikAri(N24ANY)+galYu_#_PL+lYaMweV_lYu_SIM
aXikAriyaMwa aXikAri(N24ANY)+yaMwa_#_SIM
aXikArigalYaMwa aXikAri(N24ANY)+galYu_#_PL+lYaMwa_lYu_SIM
aXikAriyaMwaha aXikAri(N24ANY)+yaMwaha_#_SIM
aXikArigalYaMwaha aXikAri(N24ANY)+galYu_#_PL+lYaMwaha_lYu_SIM
aXikAriyoVdaneV aXikAri(N24ANY)+yoVdaneV_#_SOC
aXikArigalYoVdaneV aXikAri(N24ANY)+galYu_#_PL+lYoVdaneV_lYu_SOC
aXikAriyoVMxigeV aXikAri(N24ANY)+yoVMxigeV_#_SOC
aXikArigalYoVMxigeV aXikAri(N24ANY)+galYu_#_PL+lYoVMxigeV_lYu_SOC
aXikAriyA aXikAri(N24ANY)+yu_#_NOM+yA_yu_INTR
aXikAriyU aXikAri(N24ANY)+yu_#_NOM+yU_yu_INCL
aXikAriyo aXikAri(N24ANY)+yu_#_NOM+yo_yu_DUB
aXikAriyo aXikAri(N24ANY)+yu_#_NOM+yo_yu_INDF
aXikAriyo aXikAri(N24ANY)+yu_#_NOM+yo_yu_PRES
aXikAriye aXikAri(N24ANY)+yu_#_NOM+ye_yu_IMPH
aXikAriye aXikAri(N24ANY)+yu_#_NOM+ye_yu_DECL
aXikAriye aXikAri(N24ANY)+yu_#_NOM+ye_yu_RIS
aXikAriyannA aXikAri(N24ANY)+yannu_#_ACC+nnA_nnu_INTR
aXikAriyannU aXikAri(N24ANY)+yannu_#_ACC+nnU_nnu_INCL
aXikAriyanno aXikAri(N24ANY)+yannu_#_ACC+nno_nnu_DUB
aXikAriyanno aXikAri(N24ANY)+yannu_#_ACC+nno_nnu_INDF
aXikAriyanno aXikAri(N24ANY)+yannu_#_ACC+nno_nnu_PRES
aXikAriyanne aXikAri(N24ANY)+yannu_#_ACC+nne_nnu_IMPH
aXikAriyanne aXikAri(N24ANY)+yannu_#_ACC+nne_nnu_DECL
aXikAriyanne aXikAri(N24ANY)+yannu_#_ACC+nne_nnu_RIS
aXikAriyiMxalA aXikAri(N24ANY)+yiMxa_#_INS+lA_#_INTR
aXikAriyiMxalU aXikAri(N24ANY)+yiMxa_#_INS+lU_#_INCL
aXikAriyiMxalo aXikAri(N24ANY)+yiMxa_#_INS+lo_#_DUB
aXikAriyiMxalo aXikAri(N24ANY)+yiMxa_#_INS+lo_#_INDF
aXikAriyiMxalo aXikAri(N24ANY)+yiMxa_#_INS+lo_#_PRES
aXikAriyiMxale aXikAri(N24ANY)+yiMxa_#_INS+le_#_IMPH
aXikAriyiMxale aXikAri(N24ANY)+yiMxa_#_INS+le_#_DECL
aXikAriyiMxale aXikAri(N24ANY)+yiMxa_#_INS+le_#_RIS
aXikArigA aXikAri(N24ANY)+geV_#_DAT+gA_geV_INTR
aXikArigU aXikAri(N24ANY)+geV_#_DAT+gU_geV_INCL
aXikArigo aXikAri(N24ANY)+geV_#_DAT+go_geV_DUB
aXikArigo aXikAri(N24ANY)+geV_#_DAT+go_geV_INDF
aXikArigo aXikAri(N24ANY)+geV_#_DAT+go_geV_PRES
aXikArige aXikAri(N24ANY)+geV_#_DAT+ge_geV_IMPH
aXikArige aXikAri(N24ANY)+geV_#_DAT+ge_geV_DECL
aXikArige aXikAri(N24ANY)+geV_#_DAT+ge_geV_RIS
aXikAriyiMxalA aXikAri(N24ANY)+yiMxa_#_ABL+lA_#_INTR
aXikAriyiMxalU aXikAri(N24ANY)+yiMxa_#_ABL+lU_#_INCL
aXikAriyiMxalo aXikAri(N24ANY)+yiMxa_#_ABL+lo_#_DUB
aXikAriyiMxalo aXikAri(N24ANY)+yiMxa_#_ABL+lo_#_INDF
aXikAriyiMxalo aXikAri(N24ANY)+yiMxa_#_ABL+lo_#_PRES
aXikAriyiMxale aXikAri(N24ANY)+yiMxa_#_ABL+le_#_IMPH
aXikAriyiMxale aXikAri(N24ANY)+yiMxa_#_ABL+le_#_DECL
aXikAriyiMxale aXikAri(N24ANY)+yiMxa_#_ABL+le_#_RIS
aXikAriyalliyA aXikAri(N24ANY)+yalli_#_LOC+yA_#_INTR
aXikAriyalliyU aXikAri(N24ANY)+yalli_#_LOC+yU_#_INCL
aXikAriyalliyo aXikAri(N24ANY)+yalli_#_LOC+yo_#_DUB
aXikAriyalliyo aXikAri(N24ANY)+yalli_#_LOC+yo_#_INDF
aXikAriyalliyo aXikAri(N24ANY)+yalli_#_LOC+yo_#_PRES
aXikAriyalliye aXikAri(N24ANY)+yalli_#_LOC+ye_#_IMPH
aXikAriyalliye aXikAri(N24ANY)+yalli_#_LOC+ye_#_DECL
aXikAriyalliye aXikAri(N24ANY)+yalli_#_LOC+ye_#_RIS
aXikArigalYA aXikAri(N24ANY)+galYu_#_NOM+lYA_lYu_INTR
aXikArigalYU aXikAri(N24ANY)+galYu_#_NOM+lYU_lYu_INCL
aXikArigalYo aXikAri(N24ANY)+galYu_#_NOM+lYo_lYu_DUB
aXikArigalYo aXikAri(N24ANY)+galYu_#_NOM+lYo_lYu_INDF
aXikArigalYo aXikAri(N24ANY)+galYu_#_NOM+lYo_lYu_PRES
aXikArigalYe aXikAri(N24ANY)+galYu_#_NOM+lYe_lYu_IMPH
aXikArigalYe aXikAri(N24ANY)+galYu_#_NOM+lYe_lYu_DECL
aXikArigalYe aXikAri(N24ANY)+galYu_#_NOM+lYe_lYu_RIS
aXikArigalYannA aXikAri(N24ANY)+galYu_#_ACC+lYannA_lYu_INTR
aXikArigalYannU aXikAri(N24ANY)+galYu_#_ACC+lYannU_lYu_INCL
aXikArigalYanno aXikAri(N24ANY)+galYu_#_ACC+lYanno_lYu_DUB
aXikArigalYanno aXikAri(N24ANY)+galYu_#_ACC+lYanno_lYu_INDF
aXikArigalYanno aXikAri(N24ANY)+galYu_#_ACC+lYanno_lYu_PRES
aXikArigalYanne aXikAri(N24ANY)+galYu_#_ACC+lYanne_lYu_IMPH
aXikArigalYanne aXikAri(N24ANY)+galYu_#_ACC+lYanne_lYu_DECL
aXikArigalYanne aXikAri(N24ANY)+galYu_#_ACC+lYanne_lYu_RIS
aXikArigalYiMxalA aXikAri(N24ANY)+galYu_#_INS+lYiMxalA_lYu_INTR
aXikArigalYiMxalU aXikAri(N24ANY)+galYu_#_INS+lYiMxalU_lYu_INCL
aXikArigalYiMxalo aXikAri(N24ANY)+galYu_#_INS+lYiMxalo_lYu_DUB
aXikArigalYiMxalo aXikAri(N24ANY)+galYu_#_INS+lYiMxalo_lYu_INDF
aXikArigalYiMxalo aXikAri(N24ANY)+galYu_#_INS+lYiMxalo_lYu_PRES
aXikArigalYiMxale aXikAri(N24ANY)+galYu_#_INS+lYiMxale_lYu_IMPH
aXikArigalYiMxale aXikAri(N24ANY)+galYu_#_INS+lYiMxale_lYu_DECL
aXikArigalYiMxale aXikAri(N24ANY)+galYu_#_INS+lYiMxale_lYu_RIS
aXikArigalYigA aXikAri(N24ANY)+galYu_#_DAT+lYigA_lYu_INTR
aXikArigalYigU aXikAri(N24ANY)+galYu_#_DAT+lYigU_lYu_INCL
aXikArigalYigo aXikAri(N24ANY)+galYu_#_DAT+lYigo_lYu_DUB
aXikArigalYigo aXikAri(N24ANY)+galYu_#_DAT+lYigo_lYu_INDF
aXikArigalYigo aXikAri(N24ANY)+galYu_#_DAT+lYigo_lYu_PRES
aXikArigalYige aXikAri(N24ANY)+galYu_#_DAT+lYige_lYu_IMPH
aXikArigalYige aXikAri(N24ANY)+galYu_#_DAT+lYige_lYu_DECL
aXikArigalYige aXikAri(N24ANY)+galYu_#_DAT+lYige_lYu_RIS
aXikArigalYiMxalA aXikAri(N24ANY)+galYu_#_ABL+lYiMxalA_lYu_INTR
aXikArigalYiMxalU aXikAri(N24ANY)+galYu_#_ABL+lYiMxalU_lYu_INCL
aXikArigalYiMxalo aXikAri(N24ANY)+galYu_#_ABL+lYiMxalo_lYu_DUB
aXikArigalYiMxalo aXikAri(N24ANY)+galYu_#_ABL+lYiMxalo_lYu_INDF
aXikArigalYiMxalo aXikAri(N24ANY)+galYu_#_ABL+lYiMxalo_lYu_PRES
aXikArigalYiMxale aXikAri(N24ANY)+galYu_#_ABL+lYiMxale_lYu_IMPH
aXikArigalYiMxale aXikAri(N24ANY)+galYu_#_ABL+lYiMxale_lYu_DECL
aXikArigalYiMxale aXikAri(N24ANY)+galYu_#_ABL+lYiMxale_lYu_RIS
aXikArigalYallA aXikAri(N24ANY)+galYu_#_LOC+lYallA_lYu_INTR
aXikArigalYallU aXikAri(N24ANY)+galYu_#_LOC+lYallU_lYu_INCL
aXikArigalYallo aXikAri(N24ANY)+galYu_#_LOC+lYallo_lYu_DUB
aXikArigalYallo aXikAri(N24ANY)+galYu_#_LOC+lYallo_lYu_INDF
aXikArigalYallo aXikAri(N24ANY)+galYu_#_LOC+lYallo_lYu_PRES
aXikArigalYalle aXikAri(N24ANY)+galYu_#_LOC+lYalle_lYu_IMPH
aXikArigalYalle aXikAri(N24ANY)+galYu_#_LOC+lYalle_lYu_DECL
aXikArigalYalle aXikAri(N24ANY)+galYu_#_LOC+lYalle_lYu_RIS
aXikArigoskaravA aXikAri(N24ANY)+goskara_#_BEN+vA_#_INTR
aXikArigoskaravU aXikAri(N24ANY)+goskara_#_BEN+vU_#_INCL
aXikArigoskaravo aXikAri(N24ANY)+goskara_#_BEN+vo_#_DUB
aXikArigoskaravo aXikAri(N24ANY)+goskara_#_BEN+vo_#_INDF
aXikArigoskaravo aXikAri(N24ANY)+goskara_#_BEN+vo_#_PRES
aXikArigoskarave aXikAri(N24ANY)+goskara_#_BEN+ve_#_IMPH
aXikArigoskarave aXikAri(N24ANY)+goskara_#_BEN+ve_#_DECL
aXikArigoskarave aXikAri(N24ANY)+goskara_#_BEN+ve_#_RIS
aXikArigoskaravA aXikAri(N24ANY)+goskara_#_PUR+vA_#_INTR
aXikArigoskaravU aXikAri(N24ANY)+goskara_#_PUR+vU_#_INCL
aXikArigoskaravo aXikAri(N24ANY)+goskara_#_PUR+vo_#_DUB
aXikArigoskaravo aXikAri(N24ANY)+goskara_#_PUR+vo_#_INDF
aXikArigoskaravo aXikAri(N24ANY)+goskara_#_PUR+vo_#_PRES
aXikArigoskarave aXikAri(N24ANY)+goskara_#_PUR+ve_#_IMPH
aXikArigoskarave aXikAri(N24ANY)+goskara_#_PUR+ve_#_DECL
aXikArigoskarave aXikAri(N24ANY)+goskara_#_PUR+ve_#_RIS
aXikArigAgiyA aXikAri(N24ANY)+gAgi_#_BEN+yA_#_INTR
aXikArigAgiyU aXikAri(N24ANY)+gAgi_#_BEN+yU_#_INCL
aXikArigAgiyo aXikAri(N24ANY)+gAgi_#_BEN+yo_#_DUB
aXikArigAgiyo aXikAri(N24ANY)+gAgi_#_BEN+yo_#_INDF
