ajjanu ajja(N23MASC)+nu_#_NOM
ajjaMxiru ajja(N23MASC)+aMxiru_a_PL
ajjanannu ajja(N23MASC)+nannu_#_ACC
ajjaMxirannu ajja(N23MASC)+aMxiru_#_PL+rannu_aMxiru_ACC 
ajjaniMxa ajja(N23MASC)+niMxa_#_INS
ajjaMxiriMxa ajja(N23MASC)+aMxiru_#_PL+riMxa_aMxiru_INS
ajjanigeV ajja(N23MASC)+nigeV_#_DAT
ajjaMxirigeV ajja(N23MASC)+aMxiru_#_PL+rigeV_aMxiru_DAT
ajjaniMxa ajja(N23MASC)+niMxa_#_ABL
ajjaMxiriMxa ajja(N23MASC)+aMxiru_#_PL+riMxa_aMxiru_ABL
ajjana ajja(N23MASC)+na_#_GEN
ajjaMxira ajja(N23MASC)+aMxiru_#_PL+ra_aMxiru_GEN
ajjanalli ajja(N23MASC)+nalli_#_LOC
ajjaMxiralli ajja(N23MASC)+aMxiru_#_PL+ralli_ru_LOC
ajjane ajja(N23MASC)+ne_#_VOC
ajjaMxire ajja(N23MASC)+aMxiru_#_PL+re_aMxiru_VOC
ajjanigoskara ajja(N23MASC)+nigoskara_#_BEN
ajjaMxirigoskara ajja(N23MASC)+aMxiru_#_PL+rigoskara_aMxiru_BEN
ajjanigoskara ajja(N23MASC)+nigoskara_#_PUR
ajjaMxirigoskara ajja(N23MASC)+aMxiru_#_PL+rigoskara_aMxiru_PUR
ajjanigAgi ajja(N23MASC)+nigAgi_#_BEN
ajjaMxirigAgi ajja(N23MASC)+aMxiru_#_PL+rigAgi_aMxiru_BEN
ajjanigAgi ajja(N23MASC)+nigAgi_#_PUR
ajjaMxirigAgi ajja(N23MASC)+aMxiru_#_PL+rigAgi_aMxiru_PUR
ajjanigosuga ajja(N23MASC)+nigosuga_#_BEN
ajjaMxirigosuga ajja(N23MASC)+aMxiru_#_PL+rigosuga_aMxiru_BEN
ajjanigosuga ajja(N23MASC)+nigosuga_#_PUR
ajjaMxirigosuga ajja(N23MASC)+aMxiru_#_PL+rigosuga_aMxiru_PUR
ajjanigiMwa ajja(N23MASC)+ganigiMwa_ga_COMP
ajjaMxirigiMwa ajja(N23MASC)+aMxiru_#_PL+rigiMwa_aMxiru_COMP
ajjanaMweV ajja(N23MASC)+naMweV_#_SIM
ajjaMxiraMweV ajja(N23MASC)+aMxiru_#_PL+raMweV_aMxiru_SIM
ajjanaMwa ajja(N23MASC)+naMwa_#_SIM
ajjaMxiraMwa ajja(N23MASC)+aMxiru_#_PL+raMwa_aMxiru_SIM
ajjanaMwaha ajja(N23MASC)+naMwaha_#_SIM
ajjaMxiraMwaha ajja(N23MASC)+aMxiru_#_PL+raMwaha_aMxiru_SIM
ajjanoVdaneV ajja(N23MASC)+noVdaneV_#_SOC
ajjaMxiroVdaneV ajja(N23MASC)+aMxiru_#_PL+roVdaneV_aMxiru_SOC
ajjanoVMxigeV ajja(N23MASC)+noVMxigeV_#_SOC
ajjaMxiroVMxigeV ajja(N23MASC)+aMxiru_#_PL+roVMxigeV_aMxiru_SOC
ajjanA ajja(N23MASC)+nu_#_NOM+nA_nu_INTR
ajjanU ajja(N23MASC)+nu_#_NOM+nU_nu_INCL
ajjano ajja(N23MASC)+nu_#_NOM+no_nu_DUB
ajjano ajja(N23MASC)+nu_#_NOM+no_nu_INDF
ajjano ajja(N23MASC)+nu_#_NOM+no_nu_PRES
ajjane ajja(N23MASC)+nu_#_NOM+ne_nu_IMPH
ajjane ajja(N23MASC)+nu_#_NOM+ne_nu_DECL
ajjane ajja(N23MASC)+nu_#_NOM+ne_nu_RIS
ajjanannA ajja(N23MASC)+nannu_#_ACC+nnA_nnu_INTR
ajjanannU ajja(N23MASC)+nannu_#_ACC+nnU_nnu_INCL
ajjananno ajja(N23MASC)+nannu_#_ACC+nno_nnu_DUB
ajjananno ajja(N23MASC)+nannu_#_ACC+nno_nnu_INDF
ajjananno ajja(N23MASC)+nannu_#_ACC+nno_nnu_PRES
ajjananne ajja(N23MASC)+nannu_#_ACC+nne_nnu_IMPH
ajjananne ajja(N23MASC)+nannu_#_ACC+nne_nnu_DECL
ajjananne ajja(N23MASC)+nannu_#_ACC+nne_nnu_RIS
ajjaniMxalA ajja(N23MASC)+niMxa_#_INS+lA_#_INTR
ajjaniMxalU ajja(N23MASC)+niMxa_#_INS+lU_#_INCL
ajjaniMxalo ajja(N23MASC)+niMxa_#_INS+lo_#_DUB
ajjaniMxalo ajja(N23MASC)+niMxa_#_INS+lo_#_INDF
ajjaniMxalo ajja(N23MASC)+niMxa_#_INS+lo_#_PRES
ajjaniMxale ajja(N23MASC)+niMxa_#_INS+le_#_IMPH
ajjaniMxale ajja(N23MASC)+niMxa_#_INS+le_#_DECL
ajjaniMxale ajja(N23MASC)+niMxa_#_INS+le_#_RIS
ajjanigA ajja(N23MASC)+nigeV_#_DAT+gA_geV_INTR
ajjanigU ajja(N23MASC)+nigeV_#_DAT+gU_geV_INCL
ajjanigo ajja(N23MASC)+nigeV_#_DAT+go_geV_DUB
ajjanigo ajja(N23MASC)+nigeV_#_DAT+go_geV_INDF
ajjanigo ajja(N23MASC)+nigeV_#_DAT+go_geV_PRES
ajjanige ajja(N23MASC)+nigeV_#_DAT+ge_geV_IMPH
ajjanige ajja(N23MASC)+nigeV_#_DAT+ge_geV_DECL
ajjanige ajja(N23MASC)+nigeV_#_DAT+ge_geV_RIS
ajjaniMxalA ajja(N23MASC)+niMxa_#_ABL+lA_#_INTR
ajjaniMxalU ajja(N23MASC)+niMxa_#_ABL+lU_#_INCL
ajjaniMxalo ajja(N23MASC)+niMxa_#_ABL+lo_#_DUB
ajjaniMxalo ajja(N23MASC)+niMxa_#_ABL+lo_#_INDF
ajjaniMxalo ajja(N23MASC)+niMxa_#_ABL+lo_#_PRES
ajjaniMxale ajja(N23MASC)+niMxa_#_ABL+le_#_IMPH
ajjaniMxale ajja(N23MASC)+niMxa_#_ABL+le_#_DECL
ajjaniMxale ajja(N23MASC)+niMxa_#_ABL+le_#_RIS
ajjanalliyA ajja(N23MASC)+nalli_#_LOC+yA_#_INTR
ajjanalliyU ajja(N23MASC)+nalli_#_LOC+yU_#_INCL
ajjanalliyo ajja(N23MASC)+nalli_#_LOC+yo_#_DUB
ajjanalliyo ajja(N23MASC)+nalli_#_LOC+yo_#_INDF
