anImiyAvu anImiyA(N20NUET)+vu_#_NOM
anImiyAgalYu anImiyA(N20NUET)+galYu_#_PL
anImiyAvannu anImiyA(N20NUET)+vannu_#_ACC
anImiyAgalYannu anImiyA(N20NUET)+galYu_#_PL+lYannu_lYu_ACC 
anImiyAxiMxa anImiyA(N20NUET)+xiMxa_#_INS
anImiyAgalYiMxa anImiyA(N20NUET)+galYu_#_PL+lYiMxa_lYu_INS
anImiyAkkeV anImiyA(N20NUET)+kkeV_#_DAT
anImiyAgalYigeV anImiyA(N20NUET)+galYu_#_PL+lYigeV_lYu_DAT
anImiyAxiMxa anImiyA(N20NUET)+xiMxa_#_ABL
anImiyAgalYiMxa anImiyA(N20NUET)+galYu_#_PL+lYiMxa_lYu_ABL
anImiyAxa anImiyA(N20NUET)+xa_#_GEN
anImiyAgalYa anImiyA(N20NUET)+galYu_#_PL+lYa_lYu_GEN
anImiyAxalli anImiyA(N20NUET)+xalli_#_LOC
anImiyAgalYalli anImiyA(N20NUET)+galYu_#_PL+lYalli_lYu_LOC
anImiyAve anImiyA(N20NUET)+ve_#_VOC
anImiyAgalYe anImiyA(N20NUET)+galYu_#_PL+lYe_lYu_VOC
anImiyAkkoskara anImiyA(N20NUET)+kkoskara_#_BEN
anImiyAgalYigoskara anImiyA(N20NUET)+galYu_#_PL+lYigoskara_lYu_BEN
anImiyAkkoskara anImiyA(N20NUET)+kkoskara_#_PUR
anImiyAgalYigoskara anImiyA(N20NUET)+galYu_#_PL+lYigoskara_lYu_PUR
anImiyAkkAgi anImiyA(N20NUET)+kkAgi_#_BEN
anImiyAgalYigAgi anImiyA(N20NUET)+galYu_#_PL+lYigAgi_lYu_BEN
anImiyAkkAgi anImiyA(N20NUET)+kkAgi_#_PUR
anImiyAgalYigAgi anImiyA(N20NUET)+galYu_#_PL+lYigAgi_lYu_PUR
anImiyAkkosuga anImiyA(N20NUET)+kkosuga_#_BEN
anImiyAgalYigosuga anImiyA(N20NUET)+galYu_#_PL+lYigosuga_lYu_BEN
anImiyAkkosuga anImiyA(N20NUET)+kkosuga_#_PUR
anImiyAgalYigosuga anImiyA(N20NUET)+galYu_#_PL+lYigosuga_lYu_PUR
anImiyAkkiMwa anImiyA(N20NUET)+kkiMwa_#_COMP
anImiyAgalYigiMwa anImiyA(N20NUET)+galYu_#_PL+lYigiMwa_lYu_COMP
anImiyAxaMweV anImiyA(N20NUET)+xaMweV_#_SIM
anImiyAgalYaMweV anImiyA(N20NUET)+galYu_#_PL+lYaMweV_lYu_SIM
anImiyAxaMwa anImiyA(N20NUET)+xaMwa_#_SIM
anImiyAgalYaMwa anImiyA(N20NUET)+galYu_#_PL+lYaMwa_lYu_SIM
anImiyAxaMwaha anImiyA(N20NUET)+xaMwaha_#_SIM
anImiyAgalYaMwaha anImiyA(N20NUET)+galYu_#_PL+lYaMwaha_lYu_SIM
anImiyAxoVdaneV anImiyA(N20NUET)+xoVdaneV_#_SOC
anImiyAgalYoVdaneV anImiyA(N20NUET)+galYu_#_PL+lYoVdaneV_lYu_SOC
anImiyAxoVMxigeV anImiyA(N20NUET)+xoVMxigeV_#_SOC
anImiyAgalYoVMxigeV anImiyA(N20NUET)+galYu_#_PL+lYoVMxigeV_lYu_SOC
anImiyAvA anImiyA(N20NUET)+vu_#_NOM+vA_vu_INTR
anImiyAvU anImiyA(N20NUET)+vu_#_NOM+vU_vu_INCL
anImiyAvo anImiyA(N20NUET)+vu_#_NOM+vo_vu_DUB
anImiyAvo anImiyA(N20NUET)+vu_#_NOM+vo_vu_INDF
anImiyAvo anImiyA(N20NUET)+vu_#_NOM+vo_vu_PRES
anImiyAve anImiyA(N20NUET)+vu_#_NOM+ve_vu_IMPH
anImiyAve anImiyA(N20NUET)+vu_#_NOM+ve_vu_DECL
anImiyAve anImiyA(N20NUET)+vu_#_NOM+ve_vu_RIS
anImiyAvannA anImiyA(N20NUET)+vannu_#_ACC+nnA_nnu_INTR
anImiyAvannU anImiyA(N20NUET)+vannu_#_ACC+nnU_nnu_INCL
anImiyAvanno anImiyA(N20NUET)+vannu_#_ACC+nno_nnu_DUB
anImiyAvanno anImiyA(N20NUET)+vannu_#_ACC+nno_nnu_INDF
anImiyAvanno anImiyA(N20NUET)+vannu_#_ACC+nno_nnu_PRES
anImiyAvanne anImiyA(N20NUET)+vannu_#_ACC+nne_nnu_IMPH
anImiyAvanne anImiyA(N20NUET)+vannu_#_ACC+nne_nnu_DECL
anImiyAvanne anImiyA(N20NUET)+vannu_#_ACC+nne_nnu_RIS
anImiyAxiMxalA anImiyA(N20NUET)+xiMxa_#_INS+lA_#_INTR
anImiyAxiMxalU anImiyA(N20NUET)+xiMxa_#_INS+lU_#_INCL
anImiyAxiMxalo anImiyA(N20NUET)+xiMxa_#_INS+lo_#_DUB
anImiyAxiMxalo anImiyA(N20NUET)+xiMxa_#_INS+lo_#_INDF
anImiyAxiMxalo anImiyA(N20NUET)+xiMxa_#_INS+lo_#_PRES
anImiyAxiMxale anImiyA(N20NUET)+xiMxa_#_INS+le_#_IMPH
anImiyAxiMxale anImiyA(N20NUET)+xiMxa_#_INS+le_#_DECL
anImiyAxiMxale anImiyA(N20NUET)+xiMxa_#_INS+le_#_RIS
anImiyAkkA anImiyA(N20NUET)+kkeV_#_DAT+kkA_kkeV_INTR
anImiyAkkU anImiyA(N20NUET)+kkeV_#_DAT+kkU_kkeV_INCL
anImiyAkko anImiyA(N20NUET)+kkeV_#_DAT+kko_kkeV_DUB
anImiyAkko anImiyA(N20NUET)+kkeV_#_DAT+kko_kkeV_INDF
anImiyAkko anImiyA(N20NUET)+kkeV_#_DAT+kko_kkeV_PRES
anImiyAkke anImiyA(N20NUET)+kkeV_#_DAT+kke_kkeV_IMPH
anImiyAkke anImiyA(N20NUET)+kkeV_#_DAT+kke_kkeV_DECL
anImiyAkke anImiyA(N20NUET)+kkeV_#_DAT+kke_kkeV_RIS
anImiyAxiMxalA anImiyA(N20NUET)+xiMxa_#_ABL+lA_#_INTR
anImiyAxiMxalU anImiyA(N20NUET)+xiMxa_#_ABL+lU_#_INCL
anImiyAxiMxalo anImiyA(N20NUET)+xiMxa_#_ABL+lo_#_DUB
anImiyAxiMxalo anImiyA(N20NUET)+xiMxa_#_ABL+lo_#_INDF
anImiyAxiMxalo anImiyA(N20NUET)+xiMxa_#_ABL+lo_#_PRES
anImiyAxiMxale anImiyA(N20NUET)+xiMxa_#_ABL+le_#_IMPH
anImiyAxiMxale anImiyA(N20NUET)+xiMxa_#_ABL+le_#_DECL
anImiyAxiMxale anImiyA(N20NUET)+xiMxa_#_ABL+le_#_RIS
anImiyAxalliyA anImiyA(N20NUET)+xalli_#_LOC+yA_#_INTR
anImiyAxalliyU anImiyA(N20NUET)+xalli_#_LOC+yU_#_INCL
anImiyAxalliyo anImiyA(N20NUET)+xalli_#_LOC+yo_#_DUB
anImiyAxalliyo anImiyA(N20NUET)+xalli_#_LOC+yo_#_INDF
anImiyAxalliyo anImiyA(N20NUET)+xalli_#_LOC+yo_#_PRES
anImiyAxalliye anImiyA(N20NUET)+xalli_#_LOC+ye_#_IMPH
anImiyAxalliye anImiyA(N20NUET)+xalli_#_LOC+ye_#_DECL
anImiyAxalliye anImiyA(N20NUET)+xalli_#_LOC+ye_#_RIS
anImiyAgalYA anImiyA(N20NUET)+galYu_#_NOM+lYA_lYu_INTR
anImiyAgalYU anImiyA(N20NUET)+galYu_#_NOM+lYU_lYu_INCL
anImiyAgalYo anImiyA(N20NUET)+galYu_#_NOM+lYo_lYu_DUB
anImiyAgalYo anImiyA(N20NUET)+galYu_#_NOM+lYo_lYu_INDF
anImiyAgalYo anImiyA(N20NUET)+galYu_#_NOM+lYo_lYu_PRES
anImiyAgalYe anImiyA(N20NUET)+galYu_#_NOM+lYe_lYu_IMPH
anImiyAgalYe anImiyA(N20NUET)+galYu_#_NOM+lYe_lYu_DECL
anImiyAgalYe anImiyA(N20NUET)+galYu_#_NOM+lYe_lYu_RIS
anImiyAgalYannA anImiyA(N20NUET)+galYu_#_ACC+lYannA_lYu_INTR
anImiyAgalYannU anImiyA(N20NUET)+galYu_#_ACC+lYannU_lYu_INCL
anImiyAgalYanno anImiyA(N20NUET)+galYu_#_ACC+lYanno_lYu_DUB
anImiyAgalYanno anImiyA(N20NUET)+galYu_#_ACC+lYanno_lYu_INDF
anImiyAgalYanno anImiyA(N20NUET)+galYu_#_ACC+lYanno_lYu_PRES
anImiyAgalYanne anImiyA(N20NUET)+galYu_#_ACC+lYanne_lYu_IMPH
anImiyAgalYanne anImiyA(N20NUET)+galYu_#_ACC+lYanne_lYu_DECL
anImiyAgalYanne anImiyA(N20NUET)+galYu_#_ACC+lYanne_lYu_RIS
anImiyAgalYiMxalA anImiyA(N20NUET)+galYu_#_INS+lYiMxalA_lYu_INTR
anImiyAgalYiMxalU anImiyA(N20NUET)+galYu_#_INS+lYiMxalU_lYu_INCL
anImiyAgalYiMxalo anImiyA(N20NUET)+galYu_#_INS+lYiMxalo_lYu_DUB
anImiyAgalYiMxalo anImiyA(N20NUET)+galYu_#_INS+lYiMxalo_lYu_INDF
anImiyAgalYiMxalo anImiyA(N20NUET)+galYu_#_INS+lYiMxalo_lYu_PRES
anImiyAgalYiMxale anImiyA(N20NUET)+galYu_#_INS+lYiMxale_lYu_IMPH
anImiyAgalYiMxale anImiyA(N20NUET)+galYu_#_INS+lYiMxale_lYu_DECL
anImiyAgalYiMxale anImiyA(N20NUET)+galYu_#_INS+lYiMxale_lYu_RIS
anImiyAgalYigA anImiyA(N20NUET)+galYu_#_DAT+lYigA_lYu_INTR
anImiyAgalYigU anImiyA(N20NUET)+galYu_#_DAT+lYigU_lYu_INCL
anImiyAgalYigo anImiyA(N20NUET)+galYu_#_DAT+lYigo_lYu_DUB
anImiyAgalYigo anImiyA(N20NUET)+galYu_#_DAT+lYigo_lYu_INDF
anImiyAgalYigo anImiyA(N20NUET)+galYu_#_DAT+lYigo_lYu_PRES
