baMxuvu baMxu(N27ANY)+vu_#_NOM
baMxugalYu baMxu(N27ANY)+galYu_#_PL
baMxuvannu baMxu(N27ANY)+vannu_#_ACC
baMxugalYannu baMxu(N27ANY)+galYu_#_PL+lYannu_lYu_ACC 
baMxuviniMxa baMxu(N27ANY)+viniMxa_#_INS
baMxugalYiMxa baMxu(N27ANY)+galYu_#_PL+lYiMxa_lYu_INS
baMxuvigeV baMxu(N27ANY)+vigeV_#_DAT
baMxugalYigeV baMxu(N27ANY)+galYu_#_PL+lYigeV_lYu_DAT
baMxuviniMxa baMxu(N27ANY)+viniMxa_#_ABL
baMxugalYiMxa baMxu(N27ANY)+galYu_#_PL+lYiMxa_lYu_ABL
baMxuvina baMxu(N27ANY)+vina_#_GEN
baMxugalYa baMxu(N27ANY)+galYu_#_PL+lYa_lYu_GEN
baMxuvinalli baMxu(N27ANY)+vinalli_#_LOC
baMxugalYalli baMxu(N27ANY)+galYu_#_PL+lYalli_lYu_LOC
baMxuve baMxu(N27ANY)+ve_#_VOC
baMxugalYe baMxu(N27ANY)+galYu_#_PL+lYe_lYu_VOC
baMxuvigoskara baMxu(N27ANY)+vigoskara_#_BEN
baMxugalYigoskara baMxu(N27ANY)+galYu_#_PL+lYigoskara_lYu_BEN
baMxuvigoskara baMxu(N27ANY)+vigoskara_#_PUR
baMxugalYigoskara baMxu(N27ANY)+galYu_#_PL+lYigoskara_lYu_PUR
baMxuvigAgi baMxu(N27ANY)+vigAgi_#_BEN
baMxugalYigAgi baMxu(N27ANY)+galYu_#_PL+lYigAgi_lYu_BEN
baMxuvigAgi baMxu(N27ANY)+vigAgi_#_PUR
baMxugalYigAgi baMxu(N27ANY)+galYu_#_PL+lYigAgi_lYu_PUR
baMxuvigosuga baMxu(N27ANY)+vigosuga_#_BEN
baMxugalYigosuga baMxu(N27ANY)+galYu_#_PL+lYigosuga_lYu_BEN
baMxuvigosuga baMxu(N27ANY)+vigosuga_#_PUR
baMxugalYigosuga baMxu(N27ANY)+galYu_#_PL+lYigosuga_lYu_PUR
baMxuvigiMwa baMxu(N27ANY)+vigiMwa_#_COMP
baMxugalYigiMwa baMxu(N27ANY)+galYu_#_PL+lYigiMwa_lYu_COMP
baMxuvinaMweV baMxu(N27ANY)+vinaMweV_#_SIM
baMxugalYaMweV baMxu(N27ANY)+galYu_#_PL+lYaMweV_lYu_SIM
baMxuvinaMwa baMxu(N27ANY)+vinaMwa_#_SIM
baMxugalYaMwa baMxu(N27ANY)+galYu_#_PL+lYaMwa_lYu_SIM
baMxuvinaMwaha baMxu(N27ANY)+vinaMwaha_#_SIM
baMxugalYaMwaha baMxu(N27ANY)+galYu_#_PL+lYaMwaha_lYu_SIM
baMxuvinoVdaneV baMxu(N27ANY)+vinoVdaneV_#_SOC
baMxugalYoVdaneV baMxu(N27ANY)+galYu_#_PL+lYoVdaneV_lYu_SOC
baMxuvinoVMxigeV baMxu(N27ANY)+vinoVMxigeV_#_SOC
baMxugalYoVMxigeV baMxu(N27ANY)+galYu_#_PL+lYoVMxigeV_lYu_SOC
baMxuvA baMxu(N27ANY)+vu_#_NOM+vA_vu_INTR
baMxuvU baMxu(N27ANY)+vu_#_NOM+vU_vu_INCL
baMxuvo baMxu(N27ANY)+vu_#_NOM+vo_vu_DUB
baMxuvo baMxu(N27ANY)+vu_#_NOM+vo_vu_INDF
baMxuvo baMxu(N27ANY)+vu_#_NOM+vo_vu_PRES
baMxuve baMxu(N27ANY)+vu_#_NOM+ve_vu_IMPH
baMxuve baMxu(N27ANY)+vu_#_NOM+ve_vu_DECL
baMxuve baMxu(N27ANY)+vu_#_NOM+ve_vu_RIS
baMxuvannA baMxu(N27ANY)+vannu_#_ACC+nnA_nnu_INTR
baMxuvannU baMxu(N27ANY)+vannu_#_ACC+nnU_nnu_INCL
baMxuvanno baMxu(N27ANY)+vannu_#_ACC+nno_nnu_DUB
baMxuvanno baMxu(N27ANY)+vannu_#_ACC+nno_nnu_INDF
baMxuvanno baMxu(N27ANY)+vannu_#_ACC+nno_nnu_PRES
baMxuvanne baMxu(N27ANY)+vannu_#_ACC+nne_nnu_IMPH
baMxuvanne baMxu(N27ANY)+vannu_#_ACC+nne_nnu_DECL
baMxuvanne baMxu(N27ANY)+vannu_#_ACC+nne_nnu_RIS
baMxuviniMxalA baMxu(N27ANY)+viniMxa_#_INS+lA_#_INTR
baMxuviniMxalU baMxu(N27ANY)+viniMxa_#_INS+lU_#_INCL
baMxuviniMxalo baMxu(N27ANY)+viniMxa_#_INS+lo_#_DUB
baMxuviniMxalo baMxu(N27ANY)+viniMxa_#_INS+lo_#_INDF
baMxuviniMxalo baMxu(N27ANY)+viniMxa_#_INS+lo_#_PRES
baMxuviniMxale baMxu(N27ANY)+viniMxa_#_INS+le_#_IMPH
baMxuviniMxale baMxu(N27ANY)+viniMxa_#_INS+le_#_DECL
baMxuviniMxale baMxu(N27ANY)+viniMxa_#_INS+le_#_RIS
baMxuvigA baMxu(N27ANY)+vigeV_#_DAT+gA_geV_INTR
baMxuvigU baMxu(N27ANY)+vigeV_#_DAT+gU_geV_INCL
baMxuvigo baMxu(N27ANY)+vigeV_#_DAT+go_geV_DUB
baMxuvigo baMxu(N27ANY)+vigeV_#_DAT+go_geV_INDF
baMxuvigo baMxu(N27ANY)+vigeV_#_DAT+go_geV_PRES
baMxuvige baMxu(N27ANY)+vigeV_#_DAT+ge_geV_IMPH
