dipogalYu dipo(N33NEUT)+galYu_#_PL
dipovannu dipo(N33NEUT)+vannu_#_ACC
dipogalYannu dipo(N33NEUT)+galYu_#_PL+lYannu_lYu_ACC 
dipoviniMxa dipo(N33NEUT)+viniMxa_#_INS
dipogalYiMxa dipo(N33NEUT)+galYu_#_PL+lYiMxa_lYu_INS
dipovigeV dipo(N33NEUT)+vigeV_#_DAT
dipogalYigeV dipo(N33NEUT)+galYu_#_PL+lYigeV_lYu_DAT
dipoviniMxa dipo(N33NEUT)+viniMxa_#_ABL
dipogalYiMxa dipo(N33NEUT)+galYu_#_PL+lYiMxa_lYu_ABL
dipovina dipo(N33NEUT)+vina_#_GEN
dipogalYa dipo(N33NEUT)+galYu_#_PL+lYa_lYu_GEN
dipovinalli dipo(N33NEUT)+vinalli_#_LOC
dipogalYalli dipo(N33NEUT)+galYu_#_PL+lYalli_lYu_LOC
dipove dipo(N33NEUT)+ve_#_VOC
dipogalYe dipo(N33NEUT)+galYu_#_PL+lYe_lYu_VOC
dipovigoskara dipo(N33NEUT)+vigoskara_#_BEN
dipogalYigoskara dipo(N33NEUT)+galYu_#_PL+lYigoskara_lYu_BEN
dipovigoskara dipo(N33NEUT)+vigoskara_#_PUR
dipogalYigoskara dipo(N33NEUT)+galYu_#_PL+lYigoskara_lYu_PUR
dipovigAgi dipo(N33NEUT)+vigAgi_#_BEN
dipogalYigAgi dipo(N33NEUT)+galYu_#_PL+lYigAgi_lYu_BEN
dipovigAgi dipo(N33NEUT)+vigAgi_#_PUR
dipogalYigAgi dipo(N33NEUT)+galYu_#_PL+lYigAgi_lYu_PUR
dipovigosuga dipo(N33NEUT)+vigosuga_#_BEN
dipogalYigosuga dipo(N33NEUT)+galYu_#_PL+lYigosuga_lYu_BEN
dipovigosuga dipo(N33NEUT)+vigosuga_#_PUR
dipogalYigosuga dipo(N33NEUT)+galYu_#_PL+lYigosuga_lYu_PUR
dipovigiMwa dipo(N33NEUT)+vigiMwa_#_COMP
dipogalYigiMwa dipo(N33NEUT)+galYu_#_PL+lYigiMwa_lYu_COMP
dipovinaMweV dipo(N33NEUT)+vinaMweV_#_SIM
dipogalYaMweV dipo(N33NEUT)+galYu_#_PL+lYaMweV_lYu_SIM
dipovinaMwa dipo(N33NEUT)+vinaMwa_#_SIM
dipogalYaMwa dipo(N33NEUT)+galYu_#_PL+lYaMwa_lYu_SIM
dipovinaMwaha dipo(N33NEUT)+vinaMwaha_#_SIM
dipogalYaMwaha dipo(N33NEUT)+galYu_#_PL+lYaMwaha_lYu_SIM
dipovinoVdaneV dipo(N33NEUT)+vinoVdaneV_#_SOC
dipogalYoVdaneV dipo(N33NEUT)+galYu_#_PL+lYoVdaneV_lYu_SOC
dipovinoVMxigeV dipo(N33NEUT)+vinoVMxigeV_#_SOC
dipogalYoVMxigeV dipo(N33NEUT)+galYu_#_PL+lYoVMxigeV_lYu_SOC
dipovA dipo(N33NEUT)+vu_#_NOM+vA_vu_INTR
dipovU dipo(N33NEUT)+vu_#_NOM+vU_vu_INCL
dipovo dipo(N33NEUT)+vu_#_NOM+vo_vu_DUB
dipovo dipo(N33NEUT)+vu_#_NOM+vo_vu_INDF
dipovo dipo(N33NEUT)+vu_#_NOM+vo_vu_PRES
dipove dipo(N33NEUT)+vu_#_NOM+ve_vu_IMPH
dipove dipo(N33NEUT)+vu_#_NOM+ve_vu_DECL
dipove dipo(N33NEUT)+vu_#_NOM+ve_vu_RIS
dipovannA dipo(N33NEUT)+vannu_#_ACC+nnA_nnu_INTR
dipovannU dipo(N33NEUT)+vannu_#_ACC+nnU_nnu_INCL
dipovanno dipo(N33NEUT)+vannu_#_ACC+nno_nnu_DUB
dipovanno dipo(N33NEUT)+vannu_#_ACC+nno_nnu_INDF
dipovanno dipo(N33NEUT)+vannu_#_ACC+nno_nnu_PRES
dipovanne dipo(N33NEUT)+vannu_#_ACC+nne_nnu_IMPH
dipovanne dipo(N33NEUT)+vannu_#_ACC+nne_nnu_DECL
dipovanne dipo(N33NEUT)+vannu_#_ACC+nne_nnu_RIS
dipoviniMxalA dipo(N33NEUT)+viniMxa_#_INS+lA_#_INTR
dipoviniMxalU dipo(N33NEUT)+viniMxa_#_INS+lU_#_INCL
dipoviniMxalo dipo(N33NEUT)+viniMxa_#_INS+lo_#_DUB
dipoviniMxalo dipo(N33NEUT)+viniMxa_#_INS+lo_#_INDF
dipoviniMxalo dipo(N33NEUT)+viniMxa_#_INS+lo_#_PRES
dipoviniMxale dipo(N33NEUT)+viniMxa_#_INS+le_#_IMPH
dipoviniMxale dipo(N33NEUT)+viniMxa_#_INS+le_#_DECL
dipoviniMxale dipo(N33NEUT)+viniMxa_#_INS+le_#_RIS
dipovigA dipo(N33NEUT)+vigeV_#_DAT+gA_geV_INTR
dipovigU dipo(N33NEUT)+vigeV_#_DAT+gU_geV_INCL
dipovigo dipo(N33NEUT)+vigeV_#_DAT+go_geV_DUB
dipovigo dipo(N33NEUT)+vigeV_#_DAT+go_geV_INDF
dipovigo dipo(N33NEUT)+vigeV_#_DAT+go_geV_PRES
dipovige dipo(N33NEUT)+vigeV_#_DAT+ge_geV_IMPH
