elaMgalYu elaM(N29NEUT)+galYu_#_PL
elaMannu elaM(N29NEUT)+annu_#_ACC
elaMgalYannu elaM(N29NEUT)+galYu_#_PL+lYannu_lYu_ACC 
elaMniMxa elaM(N29NEUT)+niMxa_#_INS
elaMgalYiMxa elaM(N29NEUT)+galYu_#_PL+lYiMxa_lYu_INS
elaMigeV elaM(N29NEUT)+igeV_#_DAT
elaMgalYigeV elaM(N29NEUT)+galYu_#_PL+lYigeV_lYu_DAT
elaMniMxa elaM(N29NEUT)+niMxa_#_ABL
elaMgalYiMxa elaM(N29NEUT)+galYu_#_PL+lYiMxa_lYu_ABL
elaMna elaM(N29NEUT)+na_#_GEN
elaMgalYa elaM(N29NEUT)+galYu_#_PL+lYa_lYu_GEN
elaMnalli elaM(N29NEUT)+nalli_#_LOC
elaMgalYalli elaM(N29NEUT)+galYu_#_PL+lYalli_lYu_LOC
elaMigoskara elaM(N29NEUT)+igoskara_#_BEN
elaMgalYigoskara elaM(N29NEUT)+galYu_#_PL+lYigoskara_lYu_BEN
elaMigoskara elaM(N29NEUT)+igoskara_#_PUR
elaMgalYigoskara elaM(N29NEUT)+galYu_#_PL+lYigoskara_lYu_PUR
elaMigAgi elaM(N29NEUT)+igAgi_#_BEN
elaMgalYigAgi elaM(N29NEUT)+galYu_#_PL+lYigAgi_lYu_BEN
elaMigAgi elaM(N29NEUT)+igAgi_#_PUR
elaMgalYigAgi elaM(N29NEUT)+galYu_#_PL+lYigAgi_lYu_PUR
elaMigosuga elaM(N29NEUT)+igosuga_#_BEN
elaMgalYigosuga elaM(N29NEUT)+galYu_#_PL+lYigosuga_lYu_BEN
elaMigosuga elaM(N29NEUT)+igosuga_#_PUR
elaMgalYigosuga elaM(N29NEUT)+galYu_#_PL+lYigosuga_lYu_PUR
elaMigiMwa elaM(N29NEUT)+igiMwa_#_COMP
elaMgalYigiMwa elaM(N29NEUT)+galYu_#_PL+lYigiMwa_lYu_COMP
elaMnaMweV elaM(N29NEUT)+naMweV_#_SIM
elaMgalYaMweV elaM(N29NEUT)+galYu_#_PL+lYaMweV_lYu_SIM
elaMnaMwa elaM(N29NEUT)+naMwa_#_SIM
elaMgalYaMwa elaM(N29NEUT)+galYu_#_PL+lYaMwa_lYu_SIM
elaMnaMwaha elaM(N29NEUT)+naMwaha_#_SIM
elaMgalYaMwaha elaM(N29NEUT)+galYu_#_PL+lYaMwaha_lYu_SIM
elaMnoVdaneV elaM(N29NEUT)+noVdaneV_#_SOC
elaMgalYoVdaneV elaM(N29NEUT)+galYu_#_PL+lYoVdaneV_lYu_SOC
elaMnoVMxigeV elaM(N29NEUT)+noVMxigeV_#_SOC
elaMgalYoVMxigeV elaM(N29NEUT)+galYu_#_PL+lYoVMxigeV_lYu_SOC
elaMA elaM(N29NEUT)+u_#_NOM+A_u_INTR
elaMU elaM(N29NEUT)+u_#_NOM+U_u_INCL
elaMo elaM(N29NEUT)+u_#_NOM+o_u_DUB
elaMo elaM(N29NEUT)+u_#_NOM+o_u_INDF
elaMo elaM(N29NEUT)+u_#_NOM+o_u_PRES
elaMe elaM(N29NEUT)+u_#_NOM+e_u_IMPH
elaMe elaM(N29NEUT)+u_#_NOM+e_u_DECL
elaMe elaM(N29NEUT)+u_#_NOM+e_u_RIS
elaMannA elaM(N29NEUT)+annu_#_ACC+nnA_nnu_INTR
elaMannU elaM(N29NEUT)+annu_#_ACC+nnU_nnu_INCL
elaManno elaM(N29NEUT)+annu_#_ACC+nno_nnu_DUB
elaManno elaM(N29NEUT)+annu_#_ACC+nno_nnu_INDF
elaManno elaM(N29NEUT)+annu_#_ACC+nno_nnu_PRES
elaManne elaM(N29NEUT)+annu_#_ACC+nne_nnu_IMPH
elaManne elaM(N29NEUT)+annu_#_ACC+nne_nnu_DECL
elaManne elaM(N29NEUT)+annu_#_ACC+nne_nnu_RIS
elaMniMxalA elaM(N29NEUT)+niMxa_#_INS+lA_#_INTR
elaMniMxalU elaM(N29NEUT)+niMxa_#_INS+lU_#_INCL
elaMniMxalo elaM(N29NEUT)+niMxa_#_INS+lo_#_DUB
elaMniMxalo elaM(N29NEUT)+niMxa_#_INS+lo_#_INDF
elaMniMxalo elaM(N29NEUT)+niMxa_#_INS+lo_#_PRES
elaMniMxale elaM(N29NEUT)+niMxa_#_INS+le_#_IMPH
elaMniMxale elaM(N29NEUT)+niMxa_#_INS+le_#_DECL
elaMniMxale elaM(N29NEUT)+niMxa_#_INS+le_#_RIS
elaMigA elaM(N29NEUT)+igeV_#_DAT+A_eV_INTR
elaMigU elaM(N29NEUT)+igeV_#_DAT+U_eV_INCL
elaMigo elaM(N29NEUT)+igeV_#_DAT+o_eV_DUB
elaMigo elaM(N29NEUT)+igeV_#_DAT+o_eV_INDF
elaMigo elaM(N29NEUT)+igeV_#_DAT+o_eV_PRES
elaMige elaM(N29NEUT)+igeV_#_DAT+e_eV_IMPH
elaMige elaM(N29NEUT)+igeV_#_DAT+e_eV_DECL
elaMige elaM(N29NEUT)+igeV_#_DAT+e_eV_RIS
elaMniMxalA elaM(N29NEUT)+niMxa_#_ABL+lA_#_INTR
elaMniMxalU elaM(N29NEUT)+niMxa_#_ABL+lU_#_INCL
elaMniMxalo elaM(N29NEUT)+niMxa_#_ABL+lo_#_DUB
elaMniMxalo elaM(N29NEUT)+niMxa_#_ABL+lo_#_INDF
elaMniMxalo elaM(N29NEUT)+niMxa_#_ABL+lo_#_PRES
elaMniMxale elaM(N29NEUT)+niMxa_#_ABL+le_#_IMPH
elaMniMxale elaM(N29NEUT)+niMxa_#_ABL+le_#_DECL
elaMniMxale elaM(N29NEUT)+niMxa_#_ABL+le_#_RIS
elaMnalliyA elaM(N29NEUT)+nalli_#_LOC+yA_#_INTR
elaMnalliyU elaM(N29NEUT)+nalli_#_LOC+yU_#_INCL
elaMnalliyo elaM(N29NEUT)+nalli_#_LOC+yo_#_DUB
elaMnalliyo elaM(N29NEUT)+nalli_#_LOC+yo_#_INDF
elaMnalliyo elaM(N29NEUT)+nalli_#_LOC+yo_#_PRES
elaMnalliye elaM(N29NEUT)+nalli_#_LOC+ye_#_IMPH
elaMnalliye elaM(N29NEUT)+nalli_#_LOC+ye_#_DECL
elaMnalliye elaM(N29NEUT)+nalli_#_LOC+ye_#_RIS
elaMgalYA elaM(N29NEUT)+galYu_#_NOM+lYA_lYu_INTR
elaMgalYU elaM(N29NEUT)+galYu_#_NOM+lYU_lYu_INCL
elaMgalYo elaM(N29NEUT)+galYu_#_NOM+lYo_lYu_DUB
elaMgalYo elaM(N29NEUT)+galYu_#_NOM+lYo_lYu_INDF
elaMgalYo elaM(N29NEUT)+galYu_#_NOM+lYo_lYu_PRES
elaMgalYe elaM(N29NEUT)+galYu_#_NOM+lYe_lYu_IMPH
elaMgalYe elaM(N29NEUT)+galYu_#_NOM+lYe_lYu_DECL
elaMgalYe elaM(N29NEUT)+galYu_#_NOM+lYe_lYu_RIS
elaMgalYannA elaM(N29NEUT)+galYu_#_ACC+lYannA_lYu_INTR
elaMgalYannU elaM(N29NEUT)+galYu_#_ACC+lYannU_lYu_INCL
elaMgalYanno elaM(N29NEUT)+galYu_#_ACC+lYanno_lYu_DUB
elaMgalYanno elaM(N29NEUT)+galYu_#_ACC+lYanno_lYu_INDF
elaMgalYanno elaM(N29NEUT)+galYu_#_ACC+lYanno_lYu_PRES
elaMgalYanne elaM(N29NEUT)+galYu_#_ACC+lYanne_lYu_IMPH
elaMgalYanne elaM(N29NEUT)+galYu_#_ACC+lYanne_lYu_DECL
elaMgalYanne elaM(N29NEUT)+galYu_#_ACC+lYanne_lYu_RIS
elaMgalYiMxalA elaM(N29NEUT)+galYu_#_INS+lYiMxalA_lYu_INTR
elaMgalYiMxalU elaM(N29NEUT)+galYu_#_INS+lYiMxalU_lYu_INCL
elaMgalYiMxalo elaM(N29NEUT)+galYu_#_INS+lYiMxalo_lYu_DUB
elaMgalYiMxalo elaM(N29NEUT)+galYu_#_INS+lYiMxalo_lYu_INDF
elaMgalYiMxalo elaM(N29NEUT)+galYu_#_INS+lYiMxalo_lYu_PRES
elaMgalYiMxale elaM(N29NEUT)+galYu_#_INS+lYiMxale_lYu_IMPH
elaMgalYiMxale elaM(N29NEUT)+galYu_#_INS+lYiMxale_lYu_DECL
elaMgalYiMxale elaM(N29NEUT)+galYu_#_INS+lYiMxale_lYu_RIS
elaMgalYigA elaM(N29NEUT)+galYu_#_DAT+lYigA_lYu_INTR
elaMgalYigU elaM(N29NEUT)+galYu_#_DAT+lYigU_lYu_INCL
elaMgalYigo elaM(N29NEUT)+galYu_#_DAT+lYigo_lYu_DUB
elaMgalYigo elaM(N29NEUT)+galYu_#_DAT+lYigo_lYu_INDF
elaMgalYigo elaM(N29NEUT)+galYu_#_DAT+lYigo_lYu_PRES
elaMgalYige elaM(N29NEUT)+galYu_#_DAT+lYige_lYu_IMPH
elaMgalYige elaM(N29NEUT)+galYu_#_DAT+lYige_lYu_DECL
elaMgalYige elaM(N29NEUT)+galYu_#_DAT+lYige_lYu_RIS
elaMgalYiMxalA elaM(N29NEUT)+galYu_#_ABL+lYiMxalA_lYu_INTR
elaMgalYiMxalU elaM(N29NEUT)+galYu_#_ABL+lYiMxalU_lYu_INCL
elaMgalYiMxalo elaM(N29NEUT)+galYu_#_ABL+lYiMxalo_lYu_DUB
elaMgalYiMxalo elaM(N29NEUT)+galYu_#_ABL+lYiMxalo_lYu_INDF
elaMgalYiMxalo elaM(N29NEUT)+galYu_#_ABL+lYiMxalo_lYu_PRES
elaMgalYiMxale elaM(N29NEUT)+galYu_#_ABL+lYiMxale_lYu_IMPH
elaMgalYiMxale elaM(N29NEUT)+galYu_#_ABL+lYiMxale_lYu_DECL
elaMgalYiMxale elaM(N29NEUT)+galYu_#_ABL+lYiMxale_lYu_RIS
elaMgalYallA elaM(N29NEUT)+galYu_#_LOC+lYallA_lYu_INTR
elaMgalYallU elaM(N29NEUT)+galYu_#_LOC+lYallU_lYu_INCL
elaMgalYallo elaM(N29NEUT)+galYu_#_LOC+lYallo_lYu_DUB
elaMgalYallo elaM(N29NEUT)+galYu_#_LOC+lYallo_lYu_INDF
elaMgalYallo elaM(N29NEUT)+galYu_#_LOC+lYallo_lYu_PRES
elaMgalYalle elaM(N29NEUT)+galYu_#_LOC+lYalle_lYu_IMPH
elaMgalYalle elaM(N29NEUT)+galYu_#_LOC+lYalle_lYu_DECL
elaMgalYalle elaM(N29NEUT)+galYu_#_LOC+lYalle_lYu_RIS
elaMigoskaravA elaM(N29NEUT)+igoskara_#_BEN+vA_#_INTR
elaMigoskaravU elaM(N29NEUT)+igoskara_#_BEN+vU_#_INCL
elaMigoskaravo elaM(N29NEUT)+igoskara_#_BEN+vo_#_DUB
elaMigoskaravo elaM(N29NEUT)+igoskara_#_BEN+vo_#_INDF
elaMigoskaravo elaM(N29NEUT)+igoskara_#_BEN+vo_#_PRES
elaMigoskarave elaM(N29NEUT)+igoskara_#_BEN+ve_#_IMPH
elaMigoskarave elaM(N29NEUT)+igoskara_#_BEN+ve_#_DECL
elaMigoskarave elaM(N29NEUT)+igoskara_#_BEN+ve_#_RIS
elaMigoskaravA elaM(N29NEUT)+igoskara_#_PUR+vA_#_INTR
elaMigoskaravU elaM(N29NEUT)+igoskara_#_PUR+vU_#_INCL
elaMigoskaravo elaM(N29NEUT)+igoskara_#_PUR+vo_#_DUB
elaMigoskaravo elaM(N29NEUT)+igoskara_#_PUR+vo_#_INDF
elaMigoskaravo elaM(N29NEUT)+igoskara_#_PUR+vo_#_PRES
elaMigoskarave elaM(N29NEUT)+igoskara_#_PUR+ve_#_IMPH
elaMigoskarave elaM(N29NEUT)+igoskara_#_PUR+ve_#_DECL
elaMigoskarave elaM(N29NEUT)+igoskara_#_BEN+ve_#_RIS
elaMigAgiyA elaM(N29NEUT)+igAgi_#_BEN+yA_#_INTR
elaMigAgiyU elaM(N29NEUT)+igAgi_#_BEN+yU_#_INCL
elaMigAgiyo elaM(N29NEUT)+igAgi_#_BEN+yo_#_DUB
elaMigAgiyo elaM(N29NEUT)+igAgi_#_BEN+yo_#_INDF
elaMigAgiyo elaM(N29NEUT)+igAgi_#_BEN+yo_#_PRES
elaMigAgiye elaM(N29NEUT)+igAgi_#_BEN+ye_#_IMPH
elaMigAgiye elaM(N29NEUT)+igAgi_#_BEN+ye_#_DECL
elaMigAgiye elaM(N29NEUT)+igAgi_#_BEN+ye_#_RIS
elaMigAgiyA elaM(N29NEUT)+igAgi_#_PUR+yA_#_INTR
elaMigAgiyU elaM(N29NEUT)+igAgi_#_PUR+yU_#_INCL
elaMigAgiyo elaM(N29NEUT)+igAgi_#_PUR+yo_#_DUB
elaMigAgiyo elaM(N29NEUT)+igAgi_#_PUR+yo_#_INDF
elaMigAgiyo elaM(N29NEUT)+igAgi_#_PUR+yo_#_PRES
elaMigAgiye elaM(N29NEUT)+igAgi_#_PUR+ye_#_IMPH
elaMigAgiye elaM(N29NEUT)+igAgi_#_PUR+ye_#_DECL
elaMigAgiye elaM(N29NEUT)+igAgi_#_PUR+ye_#_RIS
elaMigosugavA elaM(N29NEUT)+igosuga_#_BEN+vA_#_INTR
elaMigosugavU elaM(N29NEUT)+igosuga_#_BEN+vU_#_INCL
