gandasaru gandasu(N26MASC)+aru_u_PL
gandasannu gandasu(N26MASC)+annu_u_ACC
gandasarannu gandasu(N26MASC)+aru_u_PL+rannu_ru_ACC 
gandasiMxa gandasu(N26MASC)+iMxa_u_INS
gandasariMxa gandasu(N26MASC)+aru_u_PL+riMxa_ru_INS
gandasigeV gandasu(N26MASC)+igeV_u_DAT
gandasarigeV gandasu(N26MASC)+aru_u_PL+rigeV_ru_DAT
gandasiMxa gandasu(N26MASC)+iMxa_u_ABL
gandasariMxa gandasu(N26MASC)+aru_u_PL+riMxa_ru_ABL
gandasina gandasu(N26MASC)+ina_u_GEN
gandasara gandasu(N26MASC)+aru_u_PL+ra_ru_GEN
gandasinalli gandasu(N26MASC)+inalli_u_LOC
gandasaralli gandasu(N26MASC)+aru_u_PL+ralli_ru_LOC
gandase gandasu(N26MASC)+e_u_VOC
gandasare gandasu(N26MASC)+aru_u_PL+re_ru_VOC
gandasigoskara gandasu(N26MASC)+igoskara_u_BEN
gandasarigoskara gandasu(N26MASC)+aru_u_PL+rigoskara_ru_BEN
gandasigoskara gandasu(N26MASC)+igoskara_u_PUR
gandasarigoskara gandasu(N26MASC)+aru_u_PL+rigoskara_ru_PUR
gandasigAgi gandasu(N26MASC)+igAgi_u_BEN
gandasarigAgi gandasu(N26MASC)+aru_u_PL+rigAgi_ru_BEN
gandasigAgi gandasu(N26MASC)+igAgi_u_PUR
gandasarigAgi gandasu(N26MASC)+aru_u_PL+rigAgi_ru_PUR
gandasigosuga gandasu(N26MASC)+igosuga_u_BEN
gandasarigosuga gandasu(N26MASC)+aru_u_PL+rigosuga_ru_BEN
gandasigosuga gandasu(N26MASC)+igosuga_u_PUR
gandasarigosuga gandasu(N26MASC)+aru_u_PL+rigosuga_ru_PUR
gandasigiMwa gandasu(N26MASC)+igiMwa_u_COMP
gandasarigiMwa gandasu(N26MASC)+aru_u_PL+rigiMwa_ru_COMP
gandasaMweV gandasu(N26MASC)+aMweV_u_SIM
gandasaraMweV gandasu(N26MASC)+aru_u_PL+raMweV_ru_SIM
gandasaMwa gandasu(N26MASC)+aMwa_u_SIM
gandasaraMwa gandasu(N26MASC)+aru_u_PL+raMwa_ru_SIM
gandasaMwaha gandasu(N26MASC)+aMwaha_u_SIM
gandasaraMwaha gandasu(N26MASC)+aru_u_PL+raMwaha_ru_SIM
gandasoVdaneV gandasu(N26MASC)+oVdaneV_u_SOC
gandasaroVdaneV gandasu(N26MASC)+aru_u_PL+roVdaneV_ru_SOC
gandasoVMxigeV gandasu(N26MASC)+oVMxigeV_u_SOC
gandasaroVMxigeV gandasu(N26MASC)+aru_u_PL+roVMxigeV_ru_SOC
gandasA gandasu(N26MASC)+A_u_NOM_#_INTR
gandasU gandasu(N26MASC)+U_u_NOM_#_INCL
