jAxUvu jAxU(N31NEUT)+vu_#_NOM
jAxUgalYu jAxU(N31NEUT)+galYu_#_PL
jAxUvannu jAxU(N31NEUT)+vannu_#_ACC
jAxUgalYannu jAxU(N31NEUT)+galYu_#_PL+lYannu_lYu_ACC 
jAxUviniMxa jAxU(N31NEUT)+viniMxa_#_INS
jAxUgalYiMxa jAxU(N31NEUT)+galYu_#_PL+lYiMxa_lYu_INS
jAxUvigeV jAxU(N31NEUT)+vigeV_#_DAT
jAxUgalYigeV jAxU(N31NEUT)+galYu_#_PL+lYigeV_lYu_DAT
jAxUviniMxa jAxU(N31NEUT)+viniMxa_#_ABL
jAxUgalYiMxa jAxU(N31NEUT)+galYu_#_PL+lYiMxa_lYu_ABL
jAxUvina jAxU(N31NEUT)+vina_#_GEN
jAxUgalYa jAxU(N31NEUT)+galYu_#_PL+lYa_lYu_GEN
jAxUvinalli jAxU(N31NEUT)+vinalli_#_LOC
jAxUgalYalli jAxU(N31NEUT)+galYu_#_PL+lYalli_lYu_LOC
jAxUvigoskara jAxU(N31NEUT)+vigoskara_#_BEN
jAxUgalYigoskara jAxU(N31NEUT)+galYu_#_PL+lYigoskara_lYu_BEN
jAxUvigoskara jAxU(N31NEUT)+vigoskara_#_PUR
jAxUgalYigoskara jAxU(N31NEUT)+galYu_#_PL+lYigoskara_lYu_PUR
jAxUvigAgi jAxU(N31NEUT)+vigAgi_#_BEN
jAxUgalYigAgi jAxU(N31NEUT)+galYu_#_PL+lYigAgi_lYu_BEN
jAxUvigAgi jAxU(N31NEUT)+vigAgi_#_PUR
jAxUgalYigAgi jAxU(N31NEUT)+galYu_#_PL+lYigAgi_lYu_PUR
jAxUvigosuga jAxU(N31NEUT)+vigosuga_#_BEN
jAxUgalYigosuga jAxU(N31NEUT)+galYu_#_PL+lYigosuga_lYu_BEN
jAxUvigosuga jAxU(N31NEUT)+vigosuga_#_PUR
jAxUgalYigosuga jAxU(N31NEUT)+galYu_#_PL+lYigosuga_lYu_PUR
jAxUvigiMwa jAxU(N31NEUT)+vigiMwa_#_COMP
jAxUgalYigiMwa jAxU(N31NEUT)+galYu_#_PL+lYigiMwa_lYu_COMP
jAxUvinaMweV jAxU(N31NEUT)+vinaMweV_#_SIM
jAxUgalYaMweV jAxU(N31NEUT)+galYu_#_PL+lYaMweV_lYu_SIM
