kaxxanu kalYu(V10)+kaxxa_kalYu_PAST+anu_a_3SM   
kaxxalYu kalYu(V10)+kaxxa_kalYu_PAST+alYu_a_3SF
kaxxiwu kalYu(V10)+kaxxa_kalYu_PAST+iwu_a_3SN 
kaxxaru kalYu(V10)+kaxxa_kalYu_PAST+aru_a_3P
kaxxaru kalYu(V10)+kaxxa_kalYu_PAST+aru_a_3SH
kaxxavu kalYu(V10)+kaxxa_kalYu_PAST+avu_a_3PN



kaxiyuwwAneV kalYu(V10)+kaxiyuwwa_kalYu_FUT+AneV_a_3SM
kaxiyuwwAlYeV kalYu(V10)+kaxiyuwwa_kalYu_FUT+AlYeV_a_3SF
kaxiyuwwaxeV kalYu(V10)+kaxiyuwwa_kalYu_FUT+axeV_a_3SN
kaxiyuwwAreV kalYu(V10)+kaxiyuwwa_kalYu_FUT+AreV_a_3P
kaxiyuwwAreV kalYu(V10)+kaxiyuwwa_kalYu_FUT+AreV_a_3SH
kaxiyuwwaveV kalYu(V10)+kaxiyuwwa_kalYu_FUT+aveV_a_3PN

kaxiyuvanu kalYu(V10)+kaxiyuva_kalYu_FUT+anu_a_3SM
kaxiyuvaru kalYu(V10)+kaxiyuva_kalYu_FUT+aru_a_3FM
kaxiyuvuxu kalYu(V10)+kaxiyuva_kalYu_FUT+uxu_a_3SN
kaxiyuvaru kalYu(V10)+kaxiyuva_kalYu_FUT+aru_a_3P
kaxiyuvaru kalYu(V10)+kaxiyuva_kalYu_FUT+aru_a_3SH
kaxiyuvuvu kalYu(V10)+kaxiyuva_kalYu_FUT+vuvu_va_3PN

kaxxeVnu kalYu(V10)+kaxxa_kalYu_PAST+eVnu_a_1S
kaxxeVvu kalYu(V10)+kaxxa_kalYu_PAST+eVvu_a_1P
kaxiyuwweneV kalYu(V10)+kaxiyuwwa_kalYu_FUT+eneV_a_1S
kaxiyuwweveV kalYu(V10)+kaxiyuwwa_kalYu_FUT+eveV_a_1P
kaxiyuveVnu kalYu(V10)+kaxiyuva_kalYu_FUT+eVnu_a_1P
kaxiyuveVvu kalYu(V10)+kaxiyuva_kalYu_FUT+eVvu_a_1P
kaxiyoNa kalYu(V10)+kaxiyoNa_kalYu_1P
kaxiyuvanA kalYu(V10)+kaxiyuvanA_kalYu_1P
kaxxi kalYu(V10)+kaxxa_kalYu_PAST+i_a_2S
kaxxiri kalYu(V10)+kaxxa_kalYu_PAST+iri_a_2S
kaxxiri kalYu(V10)+kaxxa_kalYu_PAST+iri_a_2SH
kaxiyuwwi  kalYu(V10)+kaxiyuwwa_kalYu_FUT+wwi_wwa_2S
kaxiyuwwIri kalYu(V10)+kaxiyuwwa_kalYu_FUT+wwIri_wwa_2P
kaxiyuwwIri kalYu(V10)+kaxiyuwwa_kalYu_FUT+wwIri_wwa_2SH
kaxiyuviri kalYu(V10)+kaxiyuva_kalYu_FUT+viri_va_2P
kaxiyuviri kalYu(V10)+kaxiyuva_kalYu_FUT+viri_va_2SH
kaxiyuva kalYu(V10)+kaxiyuva_kalYu_FUT_#_RP
kaxxa kalYu(V10)+kaxxa_kalYu_PAST_#_RP
kaxiyalu kalYu(V10)+xiyalu_lYu_INFN_#_INCH
kaxiyalikkeV kalYu(V10)+xiyalikkeV_lYu_INFN_#_INCH
kaxiyokeV kalYu(V10)+kaxiyokeV_kalYu_INFN_#_INCH
kaxiyabeku kalYu(V10)+kaxiya_kalYu_AVY+beku_#_FUT_#_IMPR
kaxiyakUdaxu kalYu(V10)+kaxiya_kalYu_AVY+kUdaxu_#_FUT_#_NEGIMPR
kaxiyabAraxu kalYu(V10)+kaxiya_kalYu_AVY+bAraxu_#_FUT_#_NEGIMPR
kaxiyanu kalYu(V10)+xiyanu_lYu_FUTNEG_#_3SM
kaxiyalYu kalYu(V10)+xiyalYu_lYu_FUTNEG_#_3SF
kaxiyaxu kalYu(V10)+xiyaxu_lYu_FUTNEG_#_3SN
kaxiyaru kalYu(V10)+xiyaru_lYu_FUTNEG_#_3P
kaxiyaru kalYu(V10)+xiyaru_lYu_FUTNEG_#_3SH
kaxiyavu kalYu(V10)+xiyavu_lYu_FUTNEG_#_3PN
kaxiyalAreV kalYu(V10)+xiyalu_lYu_FUTNEG+AreV_u_1S
kaxiyalAreVvu kalYu(V10)+xiyalu_lYu_FUTNEG+AreVvu_u_1P
kaxiyalAreVnu kalYu(V10)+xiyalu_lYu_FUTNEG+AreVnu_u_2S
kaxiyalAriri kalYu(V10)+xiyalu_lYu_FUTNEG+Ariri_u_2P
kaxiyalAriri kalYu(V10)+xiyalu_lYu_FUTNEG+Ariri_u_2SH
kaxiyalAranu kalYu(V10)+xiyalu_lYu_FUTNEG+Aranu_u_3SM
kaxiyalAralYu kalYu(V10)+xiyalu_lYu_FUTNEG+AralYu_u_3SF
kaxiyalAraxu kalYu(V10)+xiyalu_lYu_FUTNEG+Araxu_u_3SN
kaxiyalAraru kalYu(V10)+xiyalu_lYu_FUTNEG+Araru_u_3P
kaxiyalAraru kalYu(V10)+xiyalu_lYu_FUTNEG+Araru_u_3SH
kaxiyalAravu kalYu(V10)+xiyalu_lYu_FUTNEG+Aravu_u_3PN
kaxiyalAraxa kalYu(V10)+xiyalu_lYu_NEG+Araxa_u_3
