kaxxanu kaxi(V36)+kaxxa_kaxi_PAST+anu_a_3SM   
kaxxalYu kaxi(V36)+kaxxa_kaxi_PAST+alYu_a_3SF
kaxxiwu kaxi(V36)+kaxxa_kaxi_PAST+iwu_a_3SN 
kaxxaru kaxi(V36)+kaxxa_kaxi_PAST+aru_a_3P
kaxxaru kaxi(V36)+kaxxa_kaxi_PAST+aru_a_3SH
kaxxavu kaxi(V36)+kaxxa_kaxi_PAST+avu_a_3PN



kaxiyuwwAneV kaxi(V36)+kaxiyuwwa_kaxi_FUT+AneV_a_3SM
kaxiyuwwAlYeV kaxi(V36)+kaxiyuwwa_kaxi_FUT+AlYeV_a_3SF
kaxiyuwwaxeV kaxi(V36)+kaxiyuwwa_kaxi_FUT+axeV_a_3SN
kaxiyuwwAreV kaxi(V36)+kaxiyuwwa_kaxi_FUT+AreV_a_3P
kaxiyuwwAreV kaxi(V36)+kaxiyuwwa_kaxi_FUT+AreV_a_3SH
kaxiyuwwaveV kaxi(V36)+kaxiyuwwa_kaxi_FUT+aveV_a_3PN

kaxiyuvanu kaxi(V36)+kaxiyuva_kaxi_FUT+anu_a_3SM
kaxiyuvaru kaxi(V36)+kaxiyuva_kaxi_FUT+aru_a_3FM
kaxiyuvuxu kaxi(V36)+kaxiyuva_kaxi_FUT+uxu_a_3SN
kaxiyuvaru kaxi(V36)+kaxiyuva_kaxi_FUT+aru_a_3P
kaxiyuvaru kaxi(V36)+kaxiyuva_kaxi_FUT+aru_a_3SH
kaxiyuvuvu kaxi(V36)+kaxiyuva_kaxi_FUT+vuvu_va_3PN

kaxxeVnu kaxi(V36)+kaxxa_kaxi_PAST+eVnu_a_1S
kaxxeVvu kaxi(V36)+kaxxa_kaxi_PAST+eVvu_a_1P
kaxiyuwweneV kaxi(V36)+kaxiyuwwa_kaxi_FUT+eneV_a_1S
kaxiyuwweveV kaxi(V36)+kaxiyuwwa_kaxi_FUT+eveV_a_1P
kaxiyuveVnu kaxi(V36)+kaxiyuva_kaxi_FUT+eVnu_a_1P
kaxiyuveVvu kaxi(V36)+kaxiyuva_kaxi_FUT+eVvu_a_1P
kaxiyoNa kaxi(V36)+kaxiyoNa_kaxi_1P
kaxiyuvanA kaxi(V36)+kaxiyuvanA_kaxi_1P
kaxxi kaxi(V36)+kaxxa_kaxi_PAST+i_a_2S
kaxxiri kaxi(V36)+kaxxa_kaxi_PAST+iri_a_2S
kaxxiri kaxi(V36)+kaxxa_kaxi_PAST+iri_a_2SH
kaxiyuwwi  kaxi(V36)+kaxiyuwwa_kaxi_FUT+wwi_wwa_2S
kaxiyuwwIri kaxi(V36)+kaxiyuwwa_kaxi_FUT+wwIri_wwa_2P
kaxiyuwwIri kaxi(V36)+kaxiyuwwa_kaxi_FUT+wwIri_wwa_2SH
kaxiyuviri kaxi(V36)+kaxiyuva_kaxi_FUT+viri_va_2P
kaxiyuviri kaxi(V36)+kaxiyuva_kaxi_FUT+viri_va_2SH
kaxiyuva kaxi(V36)+kaxiyuva_kaxi_FUT_#_RP
kaxxa kaxi(V36)+kaxxa_kaxi_PAST_#_RP
kaxiyalu kaxi(V36)+xiyalu_xi_INFN_#_INCH
kaxiyalikkeV kaxi(V36)+xiyalikkeV_xi_INFN_#_INCH
kaxiyokeV kaxi(V36)+kaxiyokeV_kaxi_INFN_#_INCH
kaxiyabeku kaxi(V36)+kaxiya_kaxi_AVY+beku_#_FUT_#_IMPR
kaxiyakUdaxu kaxi(V36)+kaxiya_kaxi_AVY+kUdaxu_#_FUT_#_NEGIMPR
kaxiyabAraxu kaxi(V36)+kaxiya_kaxi_AVY+bAraxu_#_FUT_#_NEGIMPR
kaxiyanu kaxi(V36)+xiyanu_xi_FUTNEG_#_3SM
kaxiyalYu kaxi(V36)+xiyalYu_xi_FUTNEG_#_3SF
kaxiyaxu kaxi(V36)+xiyaxu_xi_FUTNEG_#_3SN
kaxiyaru kaxi(V36)+xiyaru_xi_FUTNEG_#_3P
kaxiyaru kaxi(V36)+xiyaru_xi_FUTNEG_#_3SH
kaxiyavu kaxi(V36)+xiyavu_xi_FUTNEG_#_3PN
kaxiyalAreV kaxi(V36)+xiyalu_xi_FUTNEG+AreV_u_1S
kaxiyalAreVvu kaxi(V36)+xiyalu_xi_FUTNEG+AreVvu_u_1P
kaxiyalAreVnu kaxi(V36)+xiyalu_xi_FUTNEG+AreVnu_u_2S
kaxiyalAriri kaxi(V36)+xiyalu_xi_FUTNEG+Ariri_u_2P
kaxiyalAriri kaxi(V36)+xiyalu_xi_FUTNEG+Ariri_u_2SH
kaxiyalAranu kaxi(V36)+xiyalu_xi_FUTNEG+Aranu_u_3SM
kaxiyalAralYu kaxi(V36)+xiyalu_xi_FUTNEG+AralYu_u_3SF
kaxiyalAraxu kaxi(V36)+xiyalu_xi_FUTNEG+Araxu_u_3SN
kaxiyalAraru kaxi(V36)+xiyalu_xi_FUTNEG+Araru_u_3P
kaxiyalAraru kaxi(V36)+xiyalu_xi_FUTNEG+Araru_u_3SH
kaxiyalAravu kaxi(V36)+xiyalu_xi_FUTNEG+Aravu_u_3PN
kaxiyalAraxa kaxi(V36)+xiyalu_xi_NEG+Araxa_u_3
kaxiyaxa kaxi(V36)+xiyaxa_xi_NFV_#_NEG
kaxiyaxeV kaxi(V36)+xiyaxeV_xi_NFV_#_NEG
kaxxarU kaxi(V36)+kaxxarU_kaxi_NFV_#_CONS
kaxiyuwwA kaxi(V36)+kaxiyuwwa_kaxi_NFV+A_a_PRESCONT
kaxxu kaxi(V36)+kaxxu_kaxi_NFV_#_PASTPERF
kaxiyali kaxi(V36)+xiyali_xi_FUTOPT_#_3SM
kaxiyali kaxi(V36)+xiyali_xi_FUTOPT_#_3SF
kaxiyali kaxi(V36)+xiyali_xi_FUTOPT_#_3P
kaxiyali kaxi(V36)+xiyali_xi_FUTOPT_#_3SH
kaxiyali kaxi(V36)+xiyali_xi_FUTOPT_#_3SN
