magalYannu magalYu(N28FEM)+annu_u_ACC
magalYiMxa magalYu(N28FEM)+iMxa_u_INS
magalYigeV magalYu(N28FEM)+igeV_u_DAT
magalYiMxa magalYu(N28FEM)+iMxa_u_ABL
magalYa magalYu(N28FEM)+a_u_GEN
magalYalli magalYu(N28FEM)+alli_u_LOC
magalYigoskara magalYu(N28FEM)+igoskara_u_BEN
magalYigoskara magalYu(N28FEM)+igoskara_u_PUR
magalYigAgi magalYu(N28FEM)+igAgi_u_BEN
magalYigAgi magalYu(N28FEM)+igAgi_u_PUR
magalYigosuga magalYu(N28FEM)+igosuga_u_BEN
magalYigosuga magalYu(N28FEM)+igosuga_u_PUR
magalYigiMwa magalYu(N28FEM)+igiMwa_u_COMP
magalYaMweV magalYu(N28FEM)+aMweV_u_SIM
magalYaMwa magalYu(N28FEM)+aMwa_u_SIM
magalYaMwaha magalYu(N28FEM)+aMwaha_u_SIM
magalYoVdaneV magalYu(N28FEM)+oVdaneV_u_SOC
magalYoVMxigeV magalYu(N28FEM)+oVMxigeV_u_SOC
magalYA magalYu(N28FEM)+A_u_INTR
magalYU magalYu(N28FEM)+U_u_INCL
magalYo magalYu(N28FEM)+o_u_DUB
magalYo magalYu(N28FEM)+o_u_INDF
magalYo magalYu(N28FEM)+o_u_PRES
magalYe magalYu(N28FEM)+e_u_IMPH
magalYe magalYu(N28FEM)+e_u_DECL
magalYe magalYu(N28FEM)+e_u_RIS
magalYannA magalYu(N28FEM)+annu_u_ACC+annA_annu_INTR
magalYannU magalYu(N28FEM)+annu_u_ACC+annU_annu_INCL
magalYanno magalYu(N28FEM)+annu_u_ACC+anno_annu_DUB
magalYanno magalYu(N28FEM)+annu_u_ACC+anno_annu_INDF
magalYanno magalYu(N28FEM)+annu_u_ACC+anno_annu_PRES
magalYanne magalYu(N28FEM)+annu_u_ACC+anne_annu_IMPH
magalYanne magalYu(N28FEM)+annu_u_ACC+anne_annu_DECL
magalYanne magalYu(N28FEM)+annu_u_ACC+anne_annu_RIS
magalYiMxalA magalYu(N28FEM)+iMxa_u_INS+lA_#_INTR
magalYiMxalU magalYu(N28FEM)+iMxa_u_INS+lU_#_INCL
magalYiMxalo magalYu(N28FEM)+iMxa_u_INS+lo_#_DUB
magalYiMxalo magalYu(N28FEM)+iMxa_u_INS+lo_#_INDF
magalYiMxalo magalYu(N28FEM)+iMxa_u_INS+lo_#_PRES
magalYiMxale magalYu(N28FEM)+iMxa_u_INS+le_#_IMPH
magalYiMxale magalYu(N28FEM)+iMxa_u_INS+le_#_DECL
magalYiMxale magalYu(N28FEM)+iMxa_u_INS+le_#_RIS
magalYigA magalYu(N28FEM)+igeV_u_DAT+igA_igeV_INTR
magalYigU magalYu(N28FEM)+igeV_u_DAT+igU_igeV_INCL
magalYigo magalYu(N28FEM)+igeV_u_DAT+igo_igeV_DUB
magalYigo magalYu(N28FEM)+igeV_u_DAT+igo_igeV_INDF
magalYigo magalYu(N28FEM)+igeV_u_DAT+igo_igeV_PRES
magalYige magalYu(N28FEM)+igeV_u_DAT+ige_igeV_IMPH
magalYige magalYu(N28FEM)+igeV_u_DAT+ige_igeV_DECL
magalYige magalYu(N28FEM)+igeV_u_DAT+ige_igeV_RIS
magalYiMxalA magalYu(N28FEM)+iMxa_u_ABL+lA_#_INTR
magalYiMxalU magalYu(N28FEM)+iMxa_u_ABL+lU_#_INCL
magalYiMxalo magalYu(N28FEM)+iMxa_u_ABL+lo_#_DUB
magalYiMxalo magalYu(N28FEM)+iMxa_u_ABL+lo_#_INDF
magalYiMxalo magalYu(N28FEM)+iMxa_u_ABL+lo_#_PRES
magalYiMxale magalYu(N28FEM)+iMxa_u_ABL+le_#_IMPH
magalYiMxale magalYu(N28FEM)+iMxa_u_ABL+le_#_DECL
magalYiMxale magalYu(N28FEM)+iMxa_u_ABL+le_#_RIS
magalYalliyA magalYu(N28FEM)+alli_u_LOC+yA_#_INTR
magalYalliyU magalYu(N28FEM)+alli_u_LOC+yU_#_INCL
magalYalliyo magalYu(N28FEM)+alli_u_LOC+yo_#_DUB
magalYalliyo magalYu(N28FEM)+alli_u_LOC+yo_#_INDF
magalYalliyo magalYu(N28FEM)+alli_u_LOC+yo_#_PRES
magalYalliye magalYu(N28FEM)+alli_u_LOC+ye_#_IMPH
magalYalliye magalYu(N28FEM)+alli_u_LOC+ye_#_DECL
magalYalliye magalYu(N28FEM)+alli_u_LOC+ye_#_RIS
magalYugalYA magalYu(N28FEM)+galYu_#_NOM+lYA_lYu_INTR
magalYugalYU magalYu(N28FEM)+galYu_#_NOM+lYU_lYu_INCL
magalYugalYo magalYu(N28FEM)+galYu_#_NOM+lYo_lYu_DUB
magalYugalYo magalYu(N28FEM)+galYu_#_NOM+lYo_lYu_INDF
magalYugalYo magalYu(N28FEM)+galYu_#_NOM+lYo_lYu_PRES
magalYugalYe magalYu(N28FEM)+galYu_#_NOM+lYe_lYu_IMPH
magalYugalYe magalYu(N28FEM)+galYu_#_NOM+lYe_lYu_DECL
magalYugalYe magalYu(N28FEM)+galYu_#_NOM+lYe_lYu_RIS
magalYugalYannA magalYu(N28FEM)+galYu_#_ACC+lYannA_lYu_INTR
magalYugalYannU magalYu(N28FEM)+galYu_#_ACC+lYannU_lYu_INCL
magalYugalYanno magalYu(N28FEM)+galYu_#_ACC+lYanno_lYu_DUB
magalYugalYanno magalYu(N28FEM)+galYu_#_ACC+lYanno_lYu_INDF
magalYugalYanno magalYu(N28FEM)+galYu_#_ACC+lYanno_lYu_PRES
magalYugalYanne magalYu(N28FEM)+galYu_#_ACC+lYanne_lYu_IMPH
magalYugalYanne magalYu(N28FEM)+galYu_#_ACC+lYanne_lYu_DECL
magalYugalYanne magalYu(N28FEM)+galYu_#_ACC+lYanne_lYu_RIS
magalYugalYiMxalA magalYu(N28FEM)+galYu_#_INS+lYiMxalA_lYu_INTR
magalYugalYiMxalU magalYu(N28FEM)+galYu_#_INS+lYiMxalU_lYu_INCL
magalYugalYiMxalo magalYu(N28FEM)+galYu_#_INS+lYiMxalo_lYu_DUB
magalYugalYiMxalo magalYu(N28FEM)+galYu_#_INS+lYiMxalo_lYu_INDF
magalYugalYiMxalo magalYu(N28FEM)+galYu_#_INS+lYiMxalo_lYu_PRES
magalYugalYiMxale magalYu(N28FEM)+galYu_#_INS+lYiMxale_lYu_IMPH
magalYugalYiMxale magalYu(N28FEM)+galYu_#_INS+lYiMxale_lYu_DECL
magalYugalYiMxale magalYu(N28FEM)+galYu_#_INS+lYiMxale_lYu_RIS
magalYugalYigA magalYu(N28FEM)+galYu_#_DAT+lYigA_lYu_INTR
magalYugalYigU magalYu(N28FEM)+galYu_#_DAT+lYigU_lYu_INCL
magalYugalYigo magalYu(N28FEM)+galYu_#_DAT+lYigo_lYu_DUB
magalYugalYigo magalYu(N28FEM)+galYu_#_DAT+lYigo_lYu_INDF
