toVmyAtoVgalYu toVmyAtoV(N22NUET)+galYu_#_PL
toVmyAtoVvannu toVmyAtoV(N22NUET)+vannu_#_ACC
toVmyAtoVgalYannu toVmyAtoV(N22NUET)+galYu_#_PL+lYannu_lYu_ACC 
toVmyAtoVviniMxa toVmyAtoV(N22NUET)+viniMxa_#_INS
toVmyAtoVgalYiMxa toVmyAtoV(N22NUET)+galYu_#_PL+lYiMxa_lYu_INS
toVmyAtoVvigeV toVmyAtoV(N22NUET)+vigeV_#_DAT
toVmyAtoVgalYigeV toVmyAtoV(N22NUET)+galYu_#_PL+lYigeV_lYu_DAT
toVmyAtoVviniMxa toVmyAtoV(N22NUET)+viniMxa_#_ABL
toVmyAtoVgalYiMxa toVmyAtoV(N22NUET)+galYu_#_PL+lYiMxa_lYu_ABL
toVmyAtoVvina toVmyAtoV(N22NUET)+vina_#_GEN
toVmyAtoVgalYa toVmyAtoV(N22NUET)+galYu_#_PL+lYa_lYu_GEN
toVmyAtoVvinalli toVmyAtoV(N22NUET)+vinalli_#_LOC
toVmyAtoVgalYalli toVmyAtoV(N22NUET)+galYu_#_PL+lYalli_lYu_LOC
toVmyAtoVve toVmyAtoV(N22NUET)+ve_#_VOC
toVmyAtoVgalYe toVmyAtoV(N22NUET)+galYu_#_PL+lYe_lYu_VOC
toVmyAtoVvigoskara toVmyAtoV(N22NUET)+vigoskara_#_BEN
toVmyAtoVgalYigoskara toVmyAtoV(N22NUET)+galYu_#_PL+lYigoskara_lYu_BEN
toVmyAtoVvigoskara toVmyAtoV(N22NUET)+vigoskara_#_PUR
toVmyAtoVgalYigoskara toVmyAtoV(N22NUET)+galYu_#_PL+lYigoskara_lYu_PUR
toVmyAtoVvigAgi toVmyAtoV(N22NUET)+vigAgi_#_BEN
toVmyAtoVgalYigAgi toVmyAtoV(N22NUET)+galYu_#_PL+lYigAgi_lYu_BEN
toVmyAtoVvigAgi toVmyAtoV(N22NUET)+vigAgi_#_PUR
toVmyAtoVgalYigAgi toVmyAtoV(N22NUET)+galYu_#_PL+lYigAgi_lYu_PUR
toVmyAtoVvigosuga toVmyAtoV(N22NUET)+vigosuga_#_BEN
toVmyAtoVgalYigosuga toVmyAtoV(N22NUET)+galYu_#_PL+lYigosuga_lYu_BEN
toVmyAtoVvigosuga toVmyAtoV(N22NUET)+vigosuga_#_PUR
toVmyAtoVgalYigosuga toVmyAtoV(N22NUET)+galYu_#_PL+lYigosuga_lYu_PUR
