vaXuvu vaXu(N25FEM)+vu_#_NOM
vaXugalYu vaXu(N25FEM)+galYu_#_PL
vaXuvannu vaXu(N25FEM)+vannu_#_ACC
vaXugalYannu vaXu(N25FEM)+galYu_#_PL+lYannu_lYu_ACC 
vaXuviniMxa vaXu(N25FEM)+viniMxa_#_INS
vaXugalYiMxa vaXu(N25FEM)+galYu_#_PL+lYiMxa_lYu_INS
vaXuvigeV vaXu(N25FEM)+vigeV_#_DAT
vaXugalYigeV vaXu(N25FEM)+galYu_#_PL+lYigeV_lYu_DAT
vaXuviniMxa vaXu(N25FEM)+viniMxa_#_ABL
vaXugalYiMxa vaXu(N25FEM)+galYu_#_PL+lYiMxa_lYu_ABL
vaXuvina vaXu(N25FEM)+vina_#_GEN
vaXugalYa vaXu(N25FEM)+galYu_#_PL+lYa_lYu_GEN
vaXuvinalli vaXu(N25FEM)+vinalli_#_LOC
vaXugalYalli vaXu(N25FEM)+galYu_#_PL+lYalli_lYu_LOC
vaXuve vaXu(N25FEM)+ve_#_VOC
vaXugalYe vaXu(N25FEM)+galYu_#_PL+lYe_lYu_VOC
vaXuvigoskara vaXu(N25FEM)+vigoskara_#_BEN
vaXugalYigoskara vaXu(N25FEM)+galYu_#_PL+lYigoskara_lYu_BEN
vaXuvigoskara vaXu(N25FEM)+vigoskara_#_PUR
vaXugalYigoskara vaXu(N25FEM)+galYu_#_PL+lYigoskara_lYu_PUR
vaXuvigAgi vaXu(N25FEM)+vigAgi_#_BEN
vaXugalYigAgi vaXu(N25FEM)+galYu_#_PL+lYigAgi_lYu_BEN
vaXuvigAgi vaXu(N25FEM)+vigAgi_#_PUR
vaXugalYigAgi vaXu(N25FEM)+galYu_#_PL+lYigAgi_lYu_PUR
vaXuvigosuga vaXu(N25FEM)+vigosuga_#_BEN
vaXugalYigosuga vaXu(N25FEM)+galYu_#_PL+lYigosuga_lYu_BEN
vaXuvigosuga vaXu(N25FEM)+vigosuga_#_PUR
vaXugalYigosuga vaXu(N25FEM)+galYu_#_PL+lYigosuga_lYu_PUR
vaXuvigiMwa vaXu(N25FEM)+vigiMwa_#_COMP
vaXugalYigiMwa vaXu(N25FEM)+galYu_#_PL+lYigiMwa_lYu_COMP
vaXuvinaMweV vaXu(N25FEM)+vinaMweV_#_SIM
vaXugalYaMweV vaXu(N25FEM)+galYu_#_PL+lYaMweV_lYu_SIM
vaXuvinaMwa vaXu(N25FEM)+vinaMwa_#_SIM
vaXugalYaMwa vaXu(N25FEM)+galYu_#_PL+lYaMwa_lYu_SIM
vaXuvinaMwaha vaXu(N25FEM)+vinaMwaha_#_SIM
vaXugalYaMwaha vaXu(N25FEM)+galYu_#_PL+lYaMwaha_lYu_SIM
vaXuvinoVdaneV vaXu(N25FEM)+vinoVdaneV_#_SOC
vaXugalYoVdaneV vaXu(N25FEM)+galYu_#_PL+lYoVdaneV_lYu_SOC
vaXuvinoVMxigeV vaXu(N25FEM)+vinoVMxigeV_#_SOC
vaXugalYoVMxigeV vaXu(N25FEM)+galYu_#_PL+lYoVMxigeV_lYu_SOC
vaXuvA vaXu(N25FEM)+vu_#_NOM+vA_vu_INTR
vaXuvU vaXu(N25FEM)+vu_#_NOM+vU_vu_INCL
vaXuvo vaXu(N25FEM)+vu_#_NOM+vo_vu_DUB
vaXuvo vaXu(N25FEM)+vu_#_NOM+vo_vu_INDF
vaXuvo vaXu(N25FEM)+vu_#_NOM+vo_vu_PRES
vaXuve vaXu(N25FEM)+vu_#_NOM+ve_vu_IMPH
vaXuve vaXu(N25FEM)+vu_#_NOM+ve_vu_DECL
vaXuve vaXu(N25FEM)+vu_#_NOM+ve_vu_RIS
vaXuvannA vaXu(N25FEM)+vannu_#_ACC+nnA_nnu_INTR
