vartibreyu vartibre(N32NEUT)+yu_#_NOM
vartibregalYu vartibre(N32NEUT)+galYu_#_PL
vartibreyannu vartibre(N32NEUT)+yannu_#_ACC
vartibregalYannu vartibre(N32NEUT)+galYu_#_PL+lYannu_lYu_ACC 
vartibreyiMxa vartibre(N32NEUT)+yiMxa_#_INS
vartibregalYiMxa vartibre(N32NEUT)+galYu_#_PL+lYiMxa_lYu_INS
vartibregeV vartibre(N32NEUT)+geV_#_DAT
vartibregalYigeV vartibre(N32NEUT)+galYu_#_PL+lYigeV_lYu_DAT
vartibreyiMxa vartibre(N32NEUT)+yiMxa_#_ABL
vartibregalYiMxa vartibre(N32NEUT)+galYu_#_PL+lYiMxa_lYu_ABL
vartibreya vartibre(N32NEUT)+ya_#_GEN
vartibregalYa vartibre(N32NEUT)+galYu_#_PL+lYa_lYu_GEN
vartibreyalli vartibre(N32NEUT)+yalli_#_LOC
vartibregalYalli vartibre(N32NEUT)+galYu_#_PL+lYalli_lYu_LOC
vartibregoskara vartibre(N32NEUT)+goskara_#_BEN
vartibregalYigoskara vartibre(N32NEUT)+galYu_#_PL+lYigoskara_lYu_BEN
vartibregoskara vartibre(N32NEUT)+goskara_#_PUR
vartibregalYigoskara vartibre(N32NEUT)+galYu_#_PL+lYigoskara_lYu_PUR
vartibregAgi vartibre(N32NEUT)+gAgi_#_BEN
vartibregalYigAgi vartibre(N32NEUT)+galYu_#_PL+lYigAgi_lYu_BEN
vartibregAgi vartibre(N32NEUT)+gAgi_#_PUR
vartibregalYigAgi vartibre(N32NEUT)+galYu_#_PL+lYigAgi_lYu_PUR
vartibregosuga vartibre(N32NEUT)+gosuga_#_BEN
vartibregalYigosuga vartibre(N32NEUT)+galYu_#_PL+lYigosuga_lYu_BEN
vartibregosuga vartibre(N32NEUT)+gosuga_#_PUR
vartibregalYigosuga vartibre(N32NEUT)+galYu_#_PL+lYigosuga_lYu_PUR
vartibregiMwa vartibre(N32NEUT)+giMwa_#_COMP
vartibregalYigiMwa vartibre(N32NEUT)+galYu_#_PL+lYigiMwa_lYu_COMP
vartibreyaMweV vartibre(N32NEUT)+yaMweV_#_SIM
vartibregalYaMweV vartibre(N32NEUT)+galYu_#_PL+lYaMweV_lYu_SIM
vartibreyaMwa vartibre(N32NEUT)+yaMwa_#_SIM
vartibregalYaMwa vartibre(N32NEUT)+galYu_#_PL+lYaMwa_lYu_SIM
vartibreyaMwaha vartibre(N32NEUT)+yaMwaha_#_SIM
vartibregalYaMwaha vartibre(N32NEUT)+galYu_#_PL+lYaMwaha_lYu_SIM
vartibreyoVdaneV vartibre(N32NEUT)+yoVdaneV_#_SOC
vartibregalYoVdaneV vartibre(N32NEUT)+galYu_#_PL+lYoVdaneV_lYu_SOC
vartibreyoVMxigeV vartibre(N32NEUT)+yoVMxigeV_#_SOC
vartibregalYoVMxigeV vartibre(N32NEUT)+galYu_#_PL+lYoVMxigeV_lYu_SOC
vartibreyA vartibre(N32NEUT)+yu_#_NOM+yA_yu_INTR
vartibreyU vartibre(N32NEUT)+yu_#_NOM+yU_yu_INCL
vartibreyo vartibre(N32NEUT)+yu_#_NOM+yo_yu_DUB
vartibreyo vartibre(N32NEUT)+yu_#_NOM+yo_yu_INDF
vartibreyo vartibre(N32NEUT)+yu_#_NOM+yo_yu_PRES
vartibreye vartibre(N32NEUT)+yu_#_NOM+ye_yu_IMPH
vartibreye vartibre(N32NEUT)+yu_#_NOM+ye_yu_DECL
vartibreye vartibre(N32NEUT)+yu_#_NOM+ye_yu_RIS
vartibreyannA vartibre(N32NEUT)+yannu_#_ACC+nnA_nnu_INTR
vartibreyannU vartibre(N32NEUT)+yannu_#_ACC+nnU_nnu_INCL
vartibreyanno vartibre(N32NEUT)+yannu_#_ACC+nno_nnu_DUB
vartibreyanno vartibre(N32NEUT)+yannu_#_ACC+nno_nnu_INDF
vartibreyanno vartibre(N32NEUT)+yannu_#_ACC+nno_nnu_PRES
vartibreyanne vartibre(N32NEUT)+yannu_#_ACC+nne_nnu_IMPH
vartibreyanne vartibre(N32NEUT)+yannu_#_ACC+nne_nnu_DECL
vartibreyanne vartibre(N32NEUT)+yannu_#_ACC+nne_nnu_RIS
vartibreyiMxalA vartibre(N32NEUT)+yiMxa_#_INS+lA_#_INTR
vartibreyiMxalU vartibre(N32NEUT)+yiMxa_#_INS+lU_#_INCL
vartibreyiMxalo vartibre(N32NEUT)+yiMxa_#_INS+lo_#_DUB
vartibreyiMxalo vartibre(N32NEUT)+yiMxa_#_INS+lo_#_INDF
vartibreyiMxalo vartibre(N32NEUT)+yiMxa_#_INS+lo_#_PRES
vartibreyiMxale vartibre(N32NEUT)+yiMxa_#_INS+le_#_IMPH
vartibreyiMxale vartibre(N32NEUT)+yiMxa_#_INS+le_#_DECL
vartibreyiMxale vartibre(N32NEUT)+yiMxa_#_INS+le_#_RIS
vartibregA vartibre(N32NEUT)+geV_#_DAT+gA_geV_INTR
vartibregU vartibre(N32NEUT)+geV_#_DAT+gU_geV_INCL
vartibrego vartibre(N32NEUT)+geV_#_DAT+go_geV_DUB
vartibrego vartibre(N32NEUT)+geV_#_DAT+go_geV_INDF
vartibrego vartibre(N32NEUT)+geV_#_DAT+go_geV_PRES
vartibrege vartibre(N32NEUT)+geV_#_DAT+ge_geV_IMPH
vartibrege vartibre(N32NEUT)+geV_#_DAT+ge_geV_DECL
vartibrege vartibre(N32NEUT)+geV_#_DAT+ge_geV_RIS
vartibreyiMxalA vartibre(N32NEUT)+yiMxa_#_ABL+lA_#_INTR
vartibreyiMxalU vartibre(N32NEUT)+yiMxa_#_ABL+lU_#_INCL
vartibreyiMxalo vartibre(N32NEUT)+yiMxa_#_ABL+lo_#_DUB
vartibreyiMxalo vartibre(N32NEUT)+yiMxa_#_ABL+lo_#_INDF
vartibreyiMxalo vartibre(N32NEUT)+yiMxa_#_ABL+lo_#_PRES
vartibreyiMxale vartibre(N32NEUT)+yiMxa_#_ABL+le_#_IMPH
vartibreyiMxale vartibre(N32NEUT)+yiMxa_#_ABL+le_#_DECL
vartibreyiMxale vartibre(N32NEUT)+yiMxa_#_ABL+le_#_RIS
vartibreyalliyA vartibre(N32NEUT)+yalli_#_LOC+yA_#_INTR
vartibreyalliyU vartibre(N32NEUT)+yalli_#_LOC+yU_#_INCL
vartibreyalliyo vartibre(N32NEUT)+yalli_#_LOC+yo_#_DUB
vartibreyalliyo vartibre(N32NEUT)+yalli_#_LOC+yo_#_INDF
vartibreyalliyo vartibre(N32NEUT)+yalli_#_LOC+yo_#_PRES
vartibreyalliye vartibre(N32NEUT)+yalli_#_LOC+ye_#_IMPH
vartibreyalliye vartibre(N32NEUT)+yalli_#_LOC+ye_#_DECL
vartibreyalliye vartibre(N32NEUT)+yalli_#_LOC+ye_#_RIS
vartibregalYA vartibre(N32NEUT)+galYu_#_NOM+lYA_lYu_INTR
vartibregalYU vartibre(N32NEUT)+galYu_#_NOM+lYU_lYu_INCL
vartibregalYo vartibre(N32NEUT)+galYu_#_NOM+lYo_lYu_DUB
vartibregalYo vartibre(N32NEUT)+galYu_#_NOM+lYo_lYu_INDF
vartibregalYo vartibre(N32NEUT)+galYu_#_NOM+lYo_lYu_PRES
vartibregalYe vartibre(N32NEUT)+galYu_#_NOM+lYe_lYu_IMPH
vartibregalYe vartibre(N32NEUT)+galYu_#_NOM+lYe_lYu_DECL
vartibregalYe vartibre(N32NEUT)+galYu_#_NOM+lYe_lYu_RIS
vartibregalYannA vartibre(N32NEUT)+galYu_#_ACC+lYannA_lYu_INTR
vartibregalYannU vartibre(N32NEUT)+galYu_#_ACC+lYannU_lYu_INCL
vartibregalYanno vartibre(N32NEUT)+galYu_#_ACC+lYanno_lYu_DUB
vartibregalYanno vartibre(N32NEUT)+galYu_#_ACC+lYanno_lYu_INDF
vartibregalYanno vartibre(N32NEUT)+galYu_#_ACC+lYanno_lYu_PRES
vartibregalYanne vartibre(N32NEUT)+galYu_#_ACC+lYanne_lYu_IMPH
vartibregalYanne vartibre(N32NEUT)+galYu_#_ACC+lYanne_lYu_DECL
vartibregalYanne vartibre(N32NEUT)+galYu_#_ACC+lYanne_lYu_RIS
vartibregalYiMxalA vartibre(N32NEUT)+galYu_#_INS+lYiMxalA_lYu_INTR
vartibregalYiMxalU vartibre(N32NEUT)+galYu_#_INS+lYiMxalU_lYu_INCL
vartibregalYiMxalo vartibre(N32NEUT)+galYu_#_INS+lYiMxalo_lYu_DUB
vartibregalYiMxalo vartibre(N32NEUT)+galYu_#_INS+lYiMxalo_lYu_INDF
vartibregalYiMxalo vartibre(N32NEUT)+galYu_#_INS+lYiMxalo_lYu_PRES
vartibregalYiMxale vartibre(N32NEUT)+galYu_#_INS+lYiMxale_lYu_IMPH
vartibregalYiMxale vartibre(N32NEUT)+galYu_#_INS+lYiMxale_lYu_DECL
vartibregalYiMxale vartibre(N32NEUT)+galYu_#_INS+lYiMxale_lYu_RIS
vartibregalYigA vartibre(N32NEUT)+galYu_#_DAT+lYigA_lYu_INTR
vartibregalYigU vartibre(N32NEUT)+galYu_#_DAT+lYigU_lYu_INCL
vartibregalYigo vartibre(N32NEUT)+galYu_#_DAT+lYigo_lYu_DUB
vartibregalYigo vartibre(N32NEUT)+galYu_#_DAT+lYigo_lYu_INDF
vartibregalYigo vartibre(N32NEUT)+galYu_#_DAT+lYigo_lYu_PRES
vartibregalYige vartibre(N32NEUT)+galYu_#_DAT+lYige_lYu_IMPH
vartibregalYige vartibre(N32NEUT)+galYu_#_DAT+lYige_lYu_DECL
vartibregalYige vartibre(N32NEUT)+galYu_#_DAT+lYige_lYu_RIS
vartibregalYiMxalA vartibre(N32NEUT)+galYu_#_ABL+lYiMxalA_lYu_INTR
vartibregalYiMxalU vartibre(N32NEUT)+galYu_#_ABL+lYiMxalU_lYu_INCL
vartibregalYiMxalo vartibre(N32NEUT)+galYu_#_ABL+lYiMxalo_lYu_DUB
vartibregalYiMxalo vartibre(N32NEUT)+galYu_#_ABL+lYiMxalo_lYu_INDF
vartibregalYiMxalo vartibre(N32NEUT)+galYu_#_ABL+lYiMxalo_lYu_PRES
vartibregalYiMxale vartibre(N32NEUT)+galYu_#_ABL+lYiMxale_lYu_IMPH
vartibregalYiMxale vartibre(N32NEUT)+galYu_#_ABL+lYiMxale_lYu_DECL
vartibregalYiMxale vartibre(N32NEUT)+galYu_#_ABL+lYiMxale_lYu_RIS
vartibregalYallA vartibre(N32NEUT)+galYu_#_LOC+lYallA_lYu_INTR
vartibregalYallU vartibre(N32NEUT)+galYu_#_LOC+lYallU_lYu_INCL
vartibregalYallo vartibre(N32NEUT)+galYu_#_LOC+lYallo_lYu_DUB
vartibregalYallo vartibre(N32NEUT)+galYu_#_LOC+lYallo_lYu_INDF
vartibregalYallo vartibre(N32NEUT)+galYu_#_LOC+lYallo_lYu_PRES
vartibregalYalle vartibre(N32NEUT)+galYu_#_LOC+lYalle_lYu_IMPH
vartibregalYalle vartibre(N32NEUT)+galYu_#_LOC+lYalle_lYu_DECL
vartibregalYalle vartibre(N32NEUT)+galYu_#_LOC+lYalle_lYu_RIS
vartibregoskaravA vartibre(N32NEUT)+goskara_#_BEN+vA_#_INTR
vartibregoskaravU vartibre(N32NEUT)+goskara_#_BEN+vU_#_INCL
vartibregoskaravo vartibre(N32NEUT)+goskara_#_BEN+vo_#_DUB
vartibregoskaravo vartibre(N32NEUT)+goskara_#_BEN+vo_#_INDF
vartibregoskaravo vartibre(N32NEUT)+goskara_#_BEN+vo_#_PRES
vartibregoskarave vartibre(N32NEUT)+goskara_#_BEN+ve_#_IMPH
vartibregoskarave vartibre(N32NEUT)+goskara_#_BEN+ve_#_DECL
vartibregoskarave vartibre(N32NEUT)+goskara_#_BEN+ve_#_RIS
vartibregoskaravA vartibre(N32NEUT)+goskara_#_PUR+vA_#_INTR
vartibregoskaravU vartibre(N32NEUT)+goskara_#_PUR+vU_#_INCL
vartibregoskaravo vartibre(N32NEUT)+goskara_#_PUR+vo_#_DUB
vartibregoskaravo vartibre(N32NEUT)+goskara_#_PUR+vo_#_INDF
vartibregoskaravo vartibre(N32NEUT)+goskara_#_PUR+vo_#_PRES
vartibregoskarave vartibre(N32NEUT)+goskara_#_PUR+ve_#_IMPH
vartibregoskarave vartibre(N32NEUT)+goskara_#_PUR+ve_#_DECL
vartibregoskarave vartibre(N32NEUT)+goskara_#_PUR+ve_#_RIS
vartibregAgiyA vartibre(N32NEUT)+gAgi_#_BEN+yA_#_INTR
vartibregAgiyU vartibre(N32NEUT)+gAgi_#_BEN+yU_#_INCL
vartibregAgiyo vartibre(N32NEUT)+gAgi_#_BEN+yo_#_DUB
vartibregAgiyo vartibre(N32NEUT)+gAgi_#_BEN+yo_#_INDF
vartibregAgiyo vartibre(N32NEUT)+gAgi_#_BEN+yo_#_PRES
vartibregAgiye vartibre(N32NEUT)+gAgi_#_BEN+ye_#_IMPH
vartibregAgiye vartibre(N32NEUT)+gAgi_#_BEN+ye_#_DECL
vartibregAgiye vartibre(N32NEUT)+gAgi_#_BEN+ye_#_RIS
vartibregAgiyA vartibre(N32NEUT)+gAgi_#_PUR+yA_#_INTR
vartibregAgiyU vartibre(N32NEUT)+gAgi_#_PUR+yU_#_INCL
vartibregAgiyo vartibre(N32NEUT)+gAgi_#_PUR+yo_#_DUB
vartibregAgiyo vartibre(N32NEUT)+gAgi_#_PUR+yo_#_INDF
vartibregAgiyo vartibre(N32NEUT)+gAgi_#_PUR+yo_#_PRES
vartibregAgiye vartibre(N32NEUT)+gAgi_#_PUR+ye_#_IMPH
